cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1500,2021,1,29,7,37,35,0,457,8,Southbound 3,0,,2,CAR,4.3,2.03,1.55,95.0,0.0,0.0,0,0,0,,
20079,2021,1,29,18,50,31,90,1130,6,Eastbound 1,0,,2,CAR,4.3,11.6,11.44,82.0,0.0,0.0,0,0,0,,
20012,2021,1,29,16,16,16,60,976,3,Northbound 2,0,,2,CAR,4.5,2.35,1.76,105.0,0.0,0.0,0,0,0,,
20258,2021,1,29,15,47,41,10,947,4,Eastbound 2,0,,2,CAR,4.4,16.9,16.79,122.0,0.0,0.0,0,0,0,,
15010,2021,1,29,17,17,53,0,1037,4,Northbound 1,0,,2,CAR,4.3,2.81,2.32,86.0,0.0,0.0,0,0,0,,
20561,2021,1,29,11,1,57,90,661,2,Southbound 1,0,,2,CAR,4.6,0.0,0.0,96.0,0.0,0.0,0,0,0,,
20118,2021,1,29,15,4,26,0,904,2,Southbound 1,0,,2,CAR,4.3,4.6,4.46,119.0,0.0,0.0,0,0,0,,
1401,2021,1,29,14,20,41,100,860,2,Westbound 2,0,,2,CAR,4.3,0.0,0.0,106.0,0.0,0.0,0,0,0,,
1509,2021,1,29,8,9,26,30,489,2,Southbound 2,0,,2,CAR,4.1,4.46,4.21,80.0,0.0,0.0,0,0,0,,
1044,2021,1,29,12,32,47,0,752,6,Westbound 3,0,,2,CAR,4.0,1.16,0.62,84.0,0.0,0.0,0,0,0,,
