date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
2021-10-31,15:32:00,111012,NA,NA,NA,rstudioapi,0.13,US,1179
2021-10-31,15:31:57,445208,NA,NA,NA,gbm,2.1.8,US,1155
2021-10-31,15:31:56,36261,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,15:31:56,851632,3.5.2,x86_64,linux-gnu,pkgdown,1.6.1,GB,9
2021-10-31,15:32:04,290393,NA,NA,NA,rgeos,0.5-8,GB,13
2021-10-31,15:32:01,187137,NA,NA,NA,Boruta,7.0.0,US,1193
2021-10-31,15:32:06,351037,4.1.1,x86_64,darwin17.0,future,1.23.0,TR,1200
2021-10-31,15:32:02,75385,4.1.1,x86_64,darwin17.0,generics,0.1.1,VI,1321
2021-10-31,15:32:00,1902725,4.1.1,x86_64,darwin17.0,RcppArmadillo,0.10.7.0.0,TR,1200
2021-10-31,15:32:03,368895,NA,NA,NA,gtable,0.3.0,CN,1257
2021-10-31,15:31:01,37097,NA,NA,NA,ellipsis,0.3.2,NA,8
2021-10-31,15:31:36,696381,NA,NA,NA,testthat,3.1.0,US,1292
2021-10-31,15:32:03,2894938,4.1.1,x86_64,mingw32,corrplot,0.90,US,891
2021-10-31,15:32:06,504436,4.1.1,x86_64,darwin17.0,httr,1.4.2,IN,1281
2021-10-31,15:32:03,87826,NA,NA,NA,foreach,1.5.1,NA,8
2021-10-31,15:31:59,4562875,NA,NA,NA,DiagrammeR,1.0.6.1,US,1155
2021-10-31,15:31:59,583707,NA,NA,NA,shapr,0.2.0,US,1155
2021-10-31,15:31:57,75058,NA,NA,NA,callr,3.7.0,US,1206
2021-10-31,15:31:13,35532,NA,NA,NA,mime,0.12,NA,8
2021-10-31,15:31:56,1207944,NA,NA,NA,mgcv,1.8-38,US,1340
2021-10-31,15:32:01,526395,4.1.1,x86_64,mingw32,jquerylib,0.1.4,ID,1326
2021-10-31,15:32:03,545053,4.1.1,x86_64,mingw32,jsonlite,1.7.2,ID,1326
2021-10-31,15:32:05,208415,4.1.1,x86_64,mingw32,yaml,2.2.1,ID,1326
2021-10-31,15:32:06,1470349,4.1.1,x86_64,mingw32,knitr,1.36,ID,1326
2021-10-31,15:32:04,116827,NA,NA,NA,proxy,0.4-26,US,1178
2021-10-31,15:32:05,3063852,NA,NA,NA,ggplot2,3.3.5,GB,13
2021-10-31,15:32:01,3063852,3.5.2,x86_64,linux-gnu,ggplot2,3.3.5,GB,9
2021-10-31,15:31:59,160491,NA,NA,NA,httr,1.4.2,US,1206
2021-10-31,15:31:57,564033,NA,NA,NA,tzdb,0.2.0,US,1179
2021-10-31,15:31:58,72390,NA,NA,NA,uuid,1.0-2,CN,1257
2021-10-31,15:32:00,3063852,3.5.2,x86_64,linux-gnu,ggplot2,3.3.5,GB,9
2021-10-31,15:32:03,31455,NA,NA,NA,thief,0.3,US,1115
2021-10-31,15:31:56,1119090,NA,NA,NA,fontawesome,0.2.2,US,1155
2021-10-31,15:31:58,234366,NA,NA,NA,rsvg,2.1.2,US,1155
2021-10-31,15:31:46,530520,4.0.2,x86_64,mingw32,lmerTest,3.1-3,US,1295
2021-10-31,15:31:48,1795223,4.0.2,x86_64,mingw32,broom,0.7.9,US,1295
2021-10-31,15:31:43,368622,4.0.3,x86_64,linux-gnu,gtable,0.3.0,US,36
2021-10-31,15:31:56,100139,NA,NA,NA,rjson,0.2.20,US,493
2021-10-31,15:32:01,290393,3.5.2,x86_64,linux-gnu,rgeos,0.5-8,GB,9
2021-10-31,15:31:56,371839,3.5.2,x86_64,linux-gnu,devtools,2.4.2,GB,9
2021-10-31,15:32:00,401430,4.1.0,x86_64,mingw32,ipred,0.9-12,JP,1048
2021-10-31,15:32:01,1553552,4.1.0,x86_64,mingw32,timeDate,3043.102,JP,1048
2021-10-31,15:32:02,1023962,4.1.0,x86_64,mingw32,e1071,1.7-9,JP,1048
2021-10-31,15:32:02,146622,4.1.0,x86_64,mingw32,foreach,1.5.1,JP,1048
2021-10-31,15:32:03,864597,4.1.0,x86_64,mingw32,ModelMetrics,1.2.2.2,JP,1048
2021-10-31,15:32:04,1532706,4.1.0,x86_64,mingw32,pROC,1.18.0,JP,1048
2021-10-31,15:32:04,1284990,4.1.0,x86_64,mingw32,recipes,0.1.17,JP,1048
2021-10-31,15:32:05,3590734,4.1.0,x86_64,mingw32,caret,6.0-90,JP,1048
2021-10-31,15:31:55,2539380,4.1.1,x86_64,mingw32,testthat,3.1.0,GB,1226
2021-10-31,15:31:57,213519,4.1.1,x86_64,mingw32,withr,2.4.2,GB,1226
2021-10-31,15:31:57,397716,4.1.1,x86_64,mingw32,devtools,2.4.2,GB,1226
2021-10-31,15:32:02,40232,4.1.1,x86_64,mingw32,crayon,1.4.2,GB,1226
2021-10-31,15:32:02,334435,4.1.1,x86_64,mingw32,usethis,2.1.3,GB,1226
2021-10-31,15:32:03,171707,4.1.1,x86_64,mingw32,sessioninfo,1.2.0,GB,1226
