cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1071,2021,1,29,10,50,19,0,650,5,Westbound 2,0,,5,HGV_RIG,8.3,2.52,2.72,85.0,0.0,0.0,0,0,0,,
1071,2021,1,29,10,19,54,0,619,1,Eastbound 1,0,,6,HGV_ART,18.0,1.55,10.74,85.0,0.0,0.0,0,0,0,,
1503,2021,1,29,13,34,49,0,814,2,Northbound 2,0,,2,CAR,4.1,1.28,0.85,86.0,0.0,0.0,0,0,0,,
1072,2021,1,29,11,0,52,80,660,2,Westbound 2,0,,3,LGV,5.3,3.3,2.91,84.0,0.0,0.0,0,0,0,,
20119,2021,1,29,6,4,24,880,364,4,Southbound 1 (slow),0,,6,HGV_ART,17.29,7.77,7.59,87.8,23865.0,4.0,794,0,5,"6725,6280,3535,3420,3905","3.7,6.17,1.31,1.29"
20258,2021,1,29,10,49,48,0,649,3,Eastbound 1,0,,4,BUS,13.6,51.4,51.18,105.0,0.0,0.0,0,0,0,,
20047,2021,1,29,14,38,15,0,878,7,Eastbound 1,0,,2,CAR,4.4,2.41,1.56,62.0,0.0,0.0,0,0,0,,
1243,2021,1,29,10,31,50,0,631,3,Northbound 1,0,,2,CAR,4.8,49.1,48.93,110.0,0.0,0.0,0,0,0,,
20591,2021,1,29,15,50,5,0,950,1,Eastbound,0,,3,LGV,6.8,38.1,37.9,91.0,0.0,0.0,0,0,0,,
20907,2021,1,29,9,37,37,0,577,1,Northbound 1,0,,6,HGV_ART,14.0,12.1,11.63,87.0,0.0,0.0,0,0,0,,
