cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1090,2021,1,29,13,32,5,0,812,4,Southbound 1,0,,3,LGV,6.5,1.53,1.05,88.0,0.0,0.0,0,0,0,,
1507,2021,1,29,9,40,2,0,580,3,Southbound 3,0,,2,CAR,4.5,8.9,8.77,124.0,0.0,0.0,0,0,0,,
20041,2021,1,29,7,7,27,0,427,2,Eastbound 2,0,,2,CAR,4.4,4.9,4.74,106.0,0.0,0.0,0,0,0,,
200811,2021,1,29,17,19,23,60,1039,2,Westbound 1,0,,5,HGV_RIG,8.0,16.1,15.91,81.0,0.0,0.0,0,0,0,,
1014,2021,1,29,14,35,36,0,875,6,Southbound 3,0,,2,CAR,4.7,2.85,2.51,96.0,0.0,0.0,0,0,0,,
20041,2021,1,29,8,5,52,0,485,3,Westbound 2,0,,3,LGV,5.7,1.12,0.82,93.0,0.0,0.0,0,0,0,,
1500,2021,1,29,5,1,6,0,301,8,Southbound 3,0,,2,CAR,4.3,2.94,2.43,85.0,0.0,0.0,0,0,0,,
1053,2021,1,29,10,34,2,40,634,1,Eastbound,0,,2,CAR,4.8,3.5,3.37,85.0,0.0,0.0,0,0,0,,
200720,2021,1,29,8,46,59,0,526,4,Westbound 1,0,,6,HGV_ART,19.3,3.8,3.67,92.0,0.0,0.0,0,0,0,,
1511,2021,1,29,8,5,54,60,485,1,Eastbound,0,,2,CAR,4.2,12.2,12.01,110.0,0.0,0.0,0,0,0,,
