date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
2021-10-31,15:29:26,208234,4.1.1,x86_64,mingw32,rvest,1.0.2,ES,784
2021-10-31,15:29:09,227285,4.1.1,aarch64,darwin20,magrittr,2.0.1,NA,8
2021-10-31,15:29:17,225265,4.1.1,x86_64,darwin17.0,magrittr,2.0.1,US,985
2021-10-31,15:29:18,1784663,4.1.1,x86_64,darwin17.0,promises,1.2.0.1,US,985
2021-10-31,15:29:20,98499,4.1.1,x86_64,darwin17.0,hms,1.1.1,US,985
2021-10-31,15:29:22,3471058,NA,NA,NA,keras,2.6.1,US,1033
2021-10-31,15:29:28,269414,4.1.1,i386,mingw32,autoMFA,1.0.0,NA,8
2021-10-31,15:29:28,422114,4.1.1,i386,mingw32,automl,1.3.2,NA,8
2021-10-31,15:29:22,197337,4.1.1,x86_64,darwin17.0,utf8,1.2.2,US,985
2021-10-31,15:29:17,1452132,4.1.1,aarch64,darwin20,vctrs,0.3.8,NA,8
2021-10-31,15:29:20,106242,4.1.1,x86_64,darwin17.0,lifecycle,1.0.1,US,985
2021-10-31,15:29:23,36261,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,15:29:25,1152550,NA,NA,NA,rstan,2.21.2,US,335
2021-10-31,15:29:25,12823,4.1.1,x86_64,linux-gnu,rappdirs,0.3.3,CN,984
2021-10-31,15:29:25,63997,4.1.1,i386,mingw32,autokeras,1.0.12,NA,8
2021-10-31,15:29:26,32462,4.1.1,i386,mingw32,automagic,0.5.1,NA,8
2021-10-31,15:29:26,81895,4.1.1,i386,mingw32,automap,1.0-14,NA,8
2021-10-31,15:29:29,1489382,4.1.1,x86_64,mingw32,sandwich,3.0-1,BR,994
2021-10-31,15:29:11,120595,4.1.1,x86_64,darwin17.0,ids,1.0.1,NA,8
2021-10-31,15:29:24,60821,4.1.1,x86_64,darwin17.0,labeling,0.4.2,NA,8
2021-10-31,15:29:25,2568908,NA,NA,NA,rgl,0.107.14,GB,13
2021-10-31,15:29:20,851136,4.1.1,aarch64,darwin20,tibble,3.1.5,CN,1006
2021-10-31,15:27:32,4130394,4.1.1,x86_64,mingw32,ggplot2,3.3.5,CN,780
2021-10-31,15:27:34,1286721,4.1.1,x86_64,mingw32,haven,2.4.3,CN,780
2021-10-31,15:27:36,104807,4.1.1,x86_64,mingw32,hms,1.1.1,CN,780
2021-10-31,15:29:26,567917,4.1.1,x86_64,linux-gnu,e1071,1.7-9,NL,969
2021-10-31,15:29:28,1491940,4.1.1,x86_64,darwin17.0,sandwich,3.0-1,CH,992
2021-10-31,15:29:30,2945804,4.1.1,x86_64,linux-gnu,Rcpp,1.0.7,NL,969
2021-10-31,15:29:25,165185,4.1.1,x86_64,darwin17.0,gower,0.2.2,US,852
2021-10-31,15:29:25,3543265,4.1.1,x86_64,darwin17.0,rtweet,0.7.0,US,985
2021-10-31,15:29:19,18179,4.1.1,x86_64,darwin17.0,pkgconfig,2.0.3,US,985
2021-10-31,15:29:24,240867,NA,NA,NA,utf8,1.2.2,US,145
2021-10-31,15:29:20,113702,4.1.1,x86_64,darwin17.0,numDeriv,2016.8-1.1,US,852
2021-10-31,15:29:27,600060,NA,NA,NA,rbin,0.2.0,GB,892
2021-10-31,15:29:27,600060,NA,NA,NA,rbin,0.2.0,US,876
2021-10-31,15:29:25,3063852,NA,NA,NA,ggplot2,3.3.5,GB,13
2021-10-31,15:29:25,371839,NA,NA,NA,devtools,2.4.2,GB,13
2021-10-31,15:29:27,965248,4.1.1,x86_64,darwin17.0,strucchange,1.5-2,CH,992
2021-10-31,15:29:25,1296994,4.1.1,x86_64,darwin17.0,viridisLite,0.4.0,NA,8
2021-10-31,15:26:38,3032273,NA,NA,NA,viridis,0.6.2,US,79
2021-10-31,15:29:26,837729,4.1.1,x86_64,linux-gnu,reticulate,1.22,CN,984
2021-10-31,15:29:22,1456054,4.1.1,x86_64,mingw32,mcmc,0.9-7,GB,1034
2021-10-31,15:29:23,3848890,4.1.1,x86_64,mingw32,MCMCpack,1.6-0,GB,1034
2021-10-31,15:29:25,4129872,4.0.2,x86_64,mingw32,ggplot2,3.3.5,GB,1035
2021-10-31,15:29:25,1282406,NA,NA,NA,farver,2.1.0,US,145
2021-10-31,15:29:28,689572,NA,NA,NA,pROC,1.18.0,NA,8
2021-10-31,15:29:26,557033,NA,NA,NA,js,1.2,GB,13
2021-10-31,15:29:28,427739,3.5.2,x86_64,linux-gnu,ragg,1.2.0,GB,9
2021-10-31,15:29:25,1785284,4.1.1,x86_64,darwin17.0,broom,0.7.9,NA,8
2021-10-31,15:29:30,970869,4.1.1,x86_64,darwin17.0,haven,2.4.3,NA,8
2021-10-31,15:28:14,1190389,4.0.2,x86_64,mingw32,MASS,7.3-54,US,1015
2021-10-31,15:29:25,739577,NA,NA,NA,tibble,3.1.5,US,995
2021-10-31,15:29:11,2705511,4.1.0,x86_64,mingw32,RcppArmadillo,0.10.7.0.0,ID,836
2021-10-31,15:29:12,1322380,4.1.0,x86_64,mingw32,RcppGSL,0.3.10,ID,836
2021-10-31,15:29:14,3071905,4.1.0,x86_64,mingw32,RCurl,1.98-1.5,ID,836
2021-10-31,15:29:17,1795524,4.1.0,x86_64,mingw32,readr,2.0.2,ID,836
2021-10-31,15:29:22,500994,4.1.0,x86_64,mingw32,reprex,2.0.1,ID,836
2021-10-31,15:27:37,519664,4.1.1,x86_64,mingw32,httr,1.4.2,CN,780
2021-10-31,15:27:38,545050,4.1.1,x86_64,mingw32,jsonlite,1.7.2,CN,780
2021-10-31,15:27:39,1716685,4.1.1,x86_64,mingw32,lubridate,1.8.0,CN,780
2021-10-31,15:29:28,3524688,3.5.2,x86_64,linux-gnu,sf,1.0-3,GB,9
2021-10-31,15:29:25,387866,4.1.1,x86_64,darwin17.0,ipred,0.9-12,US,852
2021-10-31,15:29:29,862199,NA,NA,NA,rlang,0.4.12,US,145
2021-10-31,15:29:27,1264087,4.1.1,x86_64,darwin17.0,dplyr,1.0.7,NA,8
2021-10-31,15:29:24,1950396,4.1.1,x86_64,darwin17.0,farver,2.1.0,NA,8
2021-10-31,15:29:27,240016,4.1.1,x86_64,darwin17.0,dtplyr,1.1.0,NA,8
2021-10-31,15:28:07,1816888,NA,NA,NA,httpuv,1.6.3,US,42
2021-10-31,15:29:33,557033,NA,NA,NA,js,1.2,GB,13
2021-10-31,15:29:17,632146,NA,NA,NA,broom,0.7.9,US,1024
2021-10-31,15:29:23,371839,3.5.2,x86_64,linux-gnu,devtools,2.4.2,GB,9
2021-10-31,15:29:23,1414952,4.1.1,x86_64,darwin17.0,vctrs,0.3.8,CH,992
2021-10-31,15:27:22,1587543,NA,NA,NA,gtrendsR,1.5.0,US,163
2021-10-31,15:29:21,353156,4.1.1,x86_64,darwin17.0,pbkrtest,0.5.1,NA,8
2021-10-31,15:29:18,103680,4.1.1,x86_64,darwin17.0,listenv,0.8.0,US,852
2021-10-31,15:29:20,177089,4.1.1,x86_64,darwin17.0,SQUAREM,2021.1,US,852
2021-10-31,15:29:21,60502,4.1.1,x86_64,linux-gnu,rprojroot,2.0.2,CN,984
2021-10-31,15:29:26,4129865,4.0.2,x86_64,mingw32,ggplot2,3.3.5,SN,811
2021-10-31,15:29:26,1470349,4.1.1,x86_64,mingw32,knitr,1.36,NA,8
2021-10-31,15:29:25,739577,NA,NA,NA,tibble,3.1.5,US,1031
2021-10-31,15:29:19,1414943,4.1.1,x86_64,darwin17.0,vctrs,0.3.8,US,985
2021-10-31,15:29:15,14523,NA,NA,NA,trackter,0.1.1,US,1036
2021-10-31,15:29:26,302264,NA,NA,NA,fansi,0.5.0,US,145
2021-10-31,15:29:28,851109,4.1.1,aarch64,darwin20,tibble,3.1.5,NA,8
2021-10-31,15:29:29,29708,4.1.1,x86_64,darwin17.0,bitops,1.0-7,NA,8
2021-10-31,15:29:28,3063852,NA,NA,NA,ggplot2,3.3.5,GB,13
2021-10-31,15:29:28,165629,NA,NA,NA,digest,0.6.28,NA,8
2021-10-31,15:29:23,897578,NA,NA,NA,RMariaDB,1.1.2,KR,1011
2021-10-31,15:28:57,2897052,4.1.1,x86_64,darwin17.0,corrplot,0.90,US,937
2021-10-31,15:29:34,526641,NA,NA,NA,SparseM,0.38,US,582
2021-10-31,15:29:27,3524688,NA,NA,NA,sf,1.0-3,GB,13
