cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
20064,2021,1,29,8,19,3,0,499,5,Westbound 1,0,,6,HGV_ART,17.7,20.3,20.16,87.0,0.0,0.0,0,0,0,,
20112,2021,1,29,12,49,7,0,769,1,Southbound 1,0,,2,CAR,4.3,5.8,5.63,82.0,0.0,0.0,0,0,0,,
20076,2021,1,29,15,35,22,0,935,2,Eastbound 2,0,,2,CAR,4.4,3.0,2.87,139.0,0.0,0.0,0,0,0,,
202639,2021,1,29,12,19,53,0,739,1,Southbound,0,,3,LGV,5.2,33.2,32.91,87.0,0.0,0.0,0,0,0,,
20013,2021,1,29,10,17,39,80,617,1,Southbound 1,0,,2,CAR,4.5,21.1,20.82,111.0,0.0,0.0,0,0,0,,
1072,2021,1,29,17,35,49,60,1055,6,Eastbound 1,0,,6,HGV_ART,15.9,2.52,1.95,88.0,0.0,0.0,0,0,0,,
1081,2021,1,29,12,31,26,0,751,3,Eastbound 2,0,,5,HGV_RIG,9.9,2.79,1.92,71.0,0.0,0.0,0,0,0,,
1256,2021,1,29,8,31,19,0,511,1,Southbound 1,0,,2,CAR,4.5,6.6,6.43,99.0,0.0,0.0,0,0,0,,
208001,2021,1,29,15,47,59,0,947,2,Westbound,0,,2,CAR,4.5,3.38,3.21,56.0,0.0,0.0,0,0,0,,
200722,2021,1,29,19,40,3,0,1180,4,Westbound 1,0,,2,CAR,4.3,10.2,9.99,84.0,0.0,0.0,0,0,0,,
