cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
998,2021,1,29,2,17,47,0,137,1,Ch 1,0,,5,HGV_RIG,11.3,1.67,1.94,70.0,0.0,0.0,0,0,0,,
998,2021,1,29,2,17,48,0,137,2,Ch 2,0,,3,LGV,5.3,1.34,1.44,71.0,0.0,0.0,0,0,0,,
998,2021,1,29,2,17,49,0,137,1,Ch 1,0,,5,HGV_RIG,11.2,1.08,1.12,70.0,0.0,0.0,0,0,0,,
998,2021,1,29,2,17,50,0,137,2,Ch 2,0,,3,LGV,5.2,1.57,1.53,69.0,0.0,0.0,0,0,0,,
998,2021,1,29,2,17,50,0,137,1,Ch 1,0,,5,HGV_RIG,11.2,1.07,1.02,69.0,0.0,0.0,0,0,0,,
998,2021,1,29,2,17,52,0,137,1,Ch 1,0,,2,CAR,5.2,1.07,0.82,69.0,0.0,0.0,0,0,0,,
998,2021,1,29,2,17,52,0,137,2,Ch 2,0,,5,HGV_RIG,11.6,1.12,1.43,71.0,0.0,0.0,0,0,0,,
998,2021,1,29,2,17,53,0,137,1,Ch 1,0,,2,CAR,5.1,1.15,1.13,69.0,0.0,0.0,0,0,0,,
998,2021,1,29,2,17,54,0,137,2,Ch 2,0,,2,CAR,5.2,1.7,1.31,69.0,0.0,0.0,0,0,0,,
998,2021,1,29,2,17,55,0,137,1,Ch 1,0,,2,CAR,5.1,1.16,1.23,70.0,0.0,0.0,0,0,0,,
