cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1500,2021,1,29,16,3,51,0,963,8,Southbound 3,0,,2,CAR,3.9,2.93,2.31,72.0,0.0,0.0,0,0,0,,
1256,2021,1,29,14,30,37,80,870,2,Southbound 2,0,,3,LGV,7.3,0.0,0.0,98.0,0.0,0.0,0,0,0,,
1721,2021,1,29,8,48,17,20,528,1,Westbound,0,,2,CAR,4.2,168.6,168.46,87.0,0.0,0.0,0,0,0,,
20181,2021,1,29,18,37,53,90,1117,4,Southbound 1,0,,2,CAR,4.4,29.1,28.96,126.0,0.0,0.0,0,0,0,,
1033,2021,1,29,20,31,0,0,1231,2,Southbound 1,0,,2,CAR,4.1,0.0,0.0,79.0,0.0,0.0,0,0,0,,
1501,2021,1,29,13,45,10,0,825,2,Northbound 2,0,,2,CAR,4.1,5.8,5.64,101.0,0.0,0.0,0,0,0,,
20076,2021,1,29,15,37,9,0,937,4,Westbound 1,0,,6,HGV_ART,18.0,4.8,4.65,90.0,0.0,0.0,0,0,0,,
20561,2021,1,29,15,8,57,0,908,3,Southbound 2,0,,2,CAR,4.6,1.57,1.33,95.0,0.0,0.0,0,0,0,,
1222,2021,1,29,13,19,25,0,799,1,Southbound,0,,3,LGV,5.2,1.92,1.49,75.0,0.0,0.0,0,0,0,,
20183,2021,1,29,16,16,42,0,976,4,Northbound 1,0,,6,HGV_ART,17.3,2.93,2.44,96.0,0.0,0.0,0,0,0,,
