cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1090,2021,1,29,17,2,40,0,1022,4,Southbound 1,0,,3,LGV,6.3,10.8,10.65,126.0,0.0,0.0,0,0,0,,
200171,2021,1,29,9,17,47,30,557,2,Northbound 1,0,,2,CAR,4.1,16.6,15.84,146.0,0.0,0.0,0,0,0,,
1261,2021,1,29,7,3,39,40,423,2,Southbound,0,,2,CAR,4.5,14.3,14.14,92.0,0.0,0.0,0,0,0,,
1113,2021,1,29,21,45,30,0,1305,2,Northbound 2,0,,2,CAR,4.4,3.06,3.74,96.0,0.0,0.0,0,0,0,,
200722,2021,1,29,23,6,9,0,1386,4,Westbound 1,0,,2,CAR,4.5,8.2,8.06,94.0,0.0,0.0,0,0,0,,
20171,2021,1,29,8,19,36,0,499,1,Northbound,0,,2,CAR,4.2,14.9,14.71,97.0,0.0,0.0,0,0,0,,
1508,2021,1,29,16,17,22,0,977,2,Southbound 2,0,,2,CAR,3.8,1.03,1.02,56.0,0.0,0.0,0,0,0,,
998,2021,1,29,1,30,21,0,90,2,Ch 2,0,,2,CAR,5.2,1.17,0.92,71.0,0.0,0.0,0,0,0,,
1503,2021,1,29,11,38,34,0,698,3,Northbound 3,0,,3,LGV,6.6,2.0,1.74,99.0,0.0,0.0,0,0,0,,
20071,2021,1,29,11,38,3,80,698,2,Eastbound 2,0,,2,CAR,4.3,7.4,7.25,103.0,0.0,0.0,0,0,0,,
