cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1021,2021,1,29,19,34,5,0,1174,2,Southbound,0,,2,CAR,4.8,3.19,3.02,101.0,0.0,0.0,0,0,0,,
1811,2021,1,29,12,18,4,0,738,1,Southbound,0,,2,CAR,4.5,8.0,7.67,87.0,0.0,0.0,0,0,0,,
20119,2021,1,29,19,19,34,268,1159,4,Southbound 1 (slow),0,,2,CAR,5.25,2.83,2.67,113.0,1355.0,7.0,232,0,2,"855,500",2.56
1404,2021,1,29,10,16,29,0,616,6,Eastbound 3,0,,2,CAR,4.3,15.4,15.1,117.0,0.0,0.0,0,-1,0,,
1503,2021,1,29,18,17,4,0,1097,4,Northbound 4,0,,3,LGV,5.0,3.09,2.56,109.0,0.0,0.0,0,0,0,,
1508,2021,1,29,8,47,30,0,527,7,Northbound 2,0,,5,HGV_RIG,11.2,5.8,5.65,83.0,0.0,0.0,0,0,0,,
20041,2021,1,29,9,30,51,0,570,2,Eastbound 2,0,,2,CAR,4.2,11.4,11.27,109.0,0.0,0.0,0,0,0,,
1507,2021,1,29,8,15,30,70,495,6,Northbound 1,0,,2,CAR,4.1,1.5,1.02,84.0,0.0,0.0,0,0,0,,
1401,2021,1,29,7,34,59,90,454,2,Westbound 2,0,,2,CAR,4.4,0.91,0.95,103.0,0.0,0.0,0,0,0,,
1503,2021,1,29,17,7,59,50,1027,5,Southbound 4,0,,2,CAR,4.8,3.8,3.65,124.0,0.0,0.0,0,0,0,,
