cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1509,2021,1,29,15,10,21,0,910,2,Southbound 2,0,,2,CAR,4.0,3.6,3.45,81.0,0.0,0.0,0,0,0,,
200713,2021,1,29,10,31,21,0,631,3,Eastbound 2,0,,2,CAR,4.3,20.5,20.36,105.0,0.0,0.0,0,0,0,,
1255,2021,1,29,14,38,59,0,878,1,Westbound 1,0,,3,LGV,5.0,4.6,4.45,117.0,0.0,0.0,0,0,0,,
1801,2021,1,29,20,3,22,0,1203,2,Southbound,0,,4,BUS,17.1,0.67,1.22,81.0,0.0,0.0,0,32,0,,
1191,2021,1,29,12,32,27,0,752,1,Westbound 1,0,,2,CAR,4.6,42.5,42.18,68.0,0.0,0.0,0,0,0,,
1172,2021,1,29,18,0,12,0,1080,1,Westbound,0,,2,CAR,4.6,8.9,8.73,105.0,0.0,0.0,0,0,0,,
1256,2021,1,29,14,2,1,0,842,4,Northbound 1,0,,2,CAR,4.5,6.2,6.06,88.0,0.0,0.0,0,0,0,,
208001,2021,1,29,12,19,31,0,739,2,Westbound,0,,2,CAR,4.2,2.9,2.13,54.0,0.0,0.0,0,0,0,,
20112,2021,1,29,15,10,51,0,910,2,Southbound 2,0,,2,CAR,5.0,1.66,1.45,112.0,0.0,0.0,0,0,0,,
200812,2021,1,29,15,32,43,0,932,4,Northbound 1,0,,2,CAR,4.0,8.4,8.17,112.0,0.0,0.0,0,0,0,,
