cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1012,2021,1,29,7,31,53,60,451,1,Northbound 1,0,,3,LGV,5.6,2.22,1.81,81.0,0.0,0.0,0,0,0,,
20204,2021,1,29,7,50,17,60,470,3,Southbound,0,,2,CAR,4.3,9.2,8.96,93.0,0.0,0.0,0,0,0,,
1141,2021,1,29,13,17,19,0,797,1,Northbound,0,,3,LGV,5.1,19.1,18.82,68.0,0.0,0.0,0,0,0,,
1041,2021,1,29,9,50,28,40,590,3,Northbound 2,0,,2,CAR,4.4,20.5,20.37,108.0,0.0,0.0,0,0,0,,
998,2021,1,29,17,34,28,0,1054,2,Ch 2,0,,5,HGV_RIG,11.5,1.09,1.12,71.0,0.0,0.0,0,0,0,,
998,2021,1,29,20,2,32,0,1202,2,Ch 2,0,,3,LGV,5.3,1.02,0.72,69.0,0.0,0.0,0,0,0,,
1504,2021,1,29,7,47,48,60,467,1,Southbound 1,0,,3,LGV,7.5,7.5,7.18,77.0,0.0,0.0,0,0,0,,
1221,2021,1,29,9,20,8,0,560,3,Westbound,0,,2,CAR,4.3,28.0,27.69,49.0,0.0,0.0,0,0,0,,
1507,2021,1,29,8,38,24,40,518,4,Northbound 3,0,,2,CAR,4.6,4.5,4.36,119.0,0.0,0.0,0,0,0,,
200714,2021,1,29,6,48,31,0,408,1,Eastbound,0,,4,BUS,12.9,12.0,11.78,62.0,0.0,0.0,0,0,0,,
