cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1055,2021,1,29,17,46,8,0,1066,2,Westbound,0,,2,CAR,4.5,2.97,2.18,77.0,0.0,0.0,0,0,0,,
20112,2021,1,29,9,15,41,40,555,4,Northbound 1,0,,6,HGV_ART,17.1,2.03,1.52,85.0,0.0,0.0,0,0,0,,
15011,2021,1,29,9,46,1,0,586,1,Northbound 1,0,,2,CAR,5.0,1.61,1.3,87.0,0.0,0.0,0,0,0,,
1405,2021,1,29,16,35,27,0,995,1,Eastbound 1,0,,3,LGV,6.9,3.7,3.4,90.0,0.0,0.0,0,-1,0,,
20112,2021,1,29,6,35,56,0,395,4,Northbound 1,0,,6,HGV_ART,19.5,8.8,8.62,92.0,0.0,0.0,0,0,0,,
20041,2021,1,29,17,32,2,60,1052,1,Eastbound 1,0,,2,CAR,4.0,20.2,20.02,97.0,0.0,0.0,0,0,0,,
998,2021,1,29,20,6,52,0,1206,1,Ch 1,0,,2,CAR,5.3,1.05,0.81,70.0,0.0,0.0,0,0,0,,
20111,2021,1,29,11,39,12,90,699,1,Southbound 1,0,,3,LGV,6.0,2.46,1.84,87.0,0.0,0.0,0,0,0,,
1073,2021,1,29,19,3,57,0,1143,5,Westbound,0,,3,LGV,5.2,1.44,1.53,110.0,0.0,0.0,0,0,0,,
20071,2021,1,29,18,1,42,40,1081,6,Westbound 1,0,,2,CAR,4.6,4.3,4.15,84.0,0.0,0.0,0,0,0,,
