date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
2021-10-31,18:38:16,2645712,4.1.1,x86_64,mingw32,colorspace,2.0-2,BR,1
2021-10-31,18:38:16,1753197,4.1.1,x86_64,mingw32,farver,2.1.0,BR,1
2021-10-31,18:38:16,63213,4.1.1,x86_64,mingw32,labeling,0.4.2,BR,1
2021-10-31,18:38:16,245895,4.1.1,x86_64,mingw32,munsell,0.5.0,BR,1
2021-10-31,18:38:16,56241,4.1.1,x86_64,mingw32,RColorBrewer,1.1-2,BR,1
2021-10-31,18:38:16,1300028,4.1.1,x86_64,mingw32,viridisLite,0.4.0,BR,1
2021-10-31,18:38:16,434915,4.1.1,x86_64,mingw32,gtable,0.3.0,BR,1
2021-10-31,18:38:16,2727296,4.1.1,x86_64,mingw32,isoband,0.2.5,BR,1
2021-10-31,18:38:16,558584,4.1.1,x86_64,mingw32,scales,1.1.1,BR,1
2021-10-31,18:36:17,768354,NA,NA,NA,processx,3.5.2,US,2
2021-10-31,18:36:18,156951,NA,NA,NA,crayon,1.4.2,US,2
2021-10-31,18:38:24,26262,NA,NA,NA,dragulaR,0.3.1,US,3
2021-10-31,18:38:14,183263,4.1.1,x86_64,linux-gnu,munsell,0.5.0,US,4
2021-10-31,18:38:26,1101466,4.1.0,x86_64,darwin17.0,rjdmarkdown,0.2.0,CH,5
2021-10-31,18:38:07,1300025,4.1.1,x86_64,mingw32,viridisLite,0.4.0,IE,6
2021-10-31,18:38:08,6040811,4.1.1,x86_64,mingw32,lessR,4.0.6,IE,6
2021-10-31,18:36:22,123709,NA,NA,NA,lifecycle,1.0.1,US,2
2021-10-31,18:38:13,2456207,4.1.1,x86_64,darwin17.0,effects,4.2-0,CH,7
2021-10-31,18:38:02,545371,4.1.0,x86_64,mingw32,ggeffects,1.1.1,NA,8
2021-10-31,18:38:10,36260,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,18:38:11,2568908,NA,NA,NA,rgl,0.107.14,GB,9
2021-10-31,18:38:15,290393,3.5.2,x86_64,linux-gnu,rgeos,0.5-8,GB,9
2021-10-31,18:38:15,3063851,3.5.2,x86_64,linux-gnu,ggplot2,3.3.5,GB,9
2021-10-31,18:38:21,199449,4.1.1,x86_64,darwin17.0,markdown,1.1,US,10
2021-10-31,18:36:10,852643,NA,NA,NA,dplyr,1.0.7,US,11
2021-10-31,18:36:24,1070754,4.1.1,x86_64,mingw32,tidyr,1.1.4,NA,8
2021-10-31,18:36:26,3006381,4.1.1,x86_64,mingw32,xml2,1.3.2,NA,8
2021-10-31,18:36:27,430711,4.1.1,x86_64,mingw32,tidyverse,1.3.1,NA,8
2021-10-31,18:38:15,856381,3.5.2,x86_64,linux-gnu,units,0.7-2,GB,9
2021-10-31,18:38:15,36260,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,18:38:20,114932,4.1.1,x86_64,mingw32,zip,2.2.0,ES,12
2021-10-31,18:37:54,290393,NA,NA,NA,rgeos,0.5-8,GB,13
2021-10-31,18:38:06,1676009,NA,NA,NA,RcppArmadillo,0.10.7.0.0,US,14
2021-10-31,18:38:11,36260,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,18:38:21,165660,4.1.1,x86_64,linux-gnu,digest,0.6.28,US,4
2021-10-31,18:37:54,59395,4.1.1,x86_64,mingw32,rappdirs,0.3.3,CR,15
2021-10-31,18:37:54,83963,4.1.1,x86_64,mingw32,whisker,0.4,CR,15
2021-10-31,18:36:22,226073,NA,NA,NA,magrittr,2.0.1,US,2
2021-10-31,18:37:50,371838,3.5.2,x86_64,linux-gnu,devtools,2.4.2,GB,9
2021-10-31,18:38:16,16763,4.1.1,x86_64,mingw32,rematch,1.0.1,CA,16
2021-10-31,18:38:16,104797,4.1.1,x86_64,mingw32,hms,1.1.1,CA,16
2021-10-31,18:38:16,38432,4.1.1,x86_64,mingw32,prettyunits,1.1.1,CA,16
