cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
15002,2021,1,29,13,0,48,0,780,1,Southbound 1,0,,6,HGV_ART,18.5,7.5,7.3,70.0,0.0,0.0,0,0,0,,
1043,2021,1,29,8,7,1,0,487,1,Eastbound,0,,2,CAR,4.8,2.79,2.81,93.0,0.0,0.0,0,0,0,,
1503,2021,1,29,10,6,0,0,606,4,Northbound 4,0,,2,CAR,5.0,2.16,1.81,119.0,0.0,0.0,0,0,0,,
1073,2021,1,29,11,19,1,10,679,1,Eastbound,0,,2,CAR,4.0,1.46,1.49,80.0,0.0,0.0,0,0,0,,
1242,2021,1,29,1,16,23,60,76,2,Eastbound,0,,2,CAR,4.2,31.1,30.92,94.0,0.0,0.0,0,0,0,,
1502,2021,1,29,21,0,27,0,1260,2,Northbound 2,0,,6,HGV_ART,17.7,8.2,8.05,82.0,0.0,0.0,0,0,0,,
20908,2021,1,29,16,34,51,0,994,1,Northbound 1,0,,2,CAR,4.3,11.1,10.98,110.0,0.0,0.0,0,0,0,,
1509,2021,1,29,12,18,17,0,738,8,Northbound 2,0,,2,CAR,4.4,5.6,5.36,103.0,0.0,0.0,0,0,0,,
1071,2021,1,29,18,19,56,60,1099,6,Westbound 1,0,,2,CAR,4.9,1.02,1.0,74.0,0.0,0.0,0,0,0,,
1506,2021,1,29,6,17,0,90,377,4,Southbound 3,0,,2,CAR,4.0,19.6,19.46,144.0,0.0,0.0,0,0,0,,
