cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
201321,2021,1,29,9,0,12,20,540,2,Southbound,0,,3,LGV,7.1,11.4,11.16,66.0,0.0,0.0,0,0,0,,
20089,2021,1,29,8,25,24,0,505,4,Southbound 1,0,,2,CAR,4.8,30.8,29.89,109.0,0.0,0.0,0,0,0,,
1014,2021,1,29,8,19,3,0,499,6,Southbound 3,0,,2,CAR,4.1,1.21,0.8,82.0,0.0,0.0,0,0,0,,
20204,2021,1,29,15,1,14,0,901,3,Southbound,0,,2,CAR,4.3,19.0,18.74,93.0,0.0,0.0,0,0,0,,
20079,2021,1,29,15,3,18,0,903,5,Eastbound 2,0,,2,CAR,4.2,4.3,4.11,108.0,0.0,0.0,0,0,0,,
1012,2021,1,29,6,31,4,30,391,3,Northbound 3,0,,2,CAR,4.0,3.02,2.35,93.0,0.0,0.0,0,0,0,,
20012,2021,1,29,11,39,5,60,699,5,Southbound 1,0,,3,LGV,7.4,8.8,8.62,110.0,0.0,0.0,0,0,0,,
1505,2021,1,29,16,47,18,0,1007,8,Southbound 1,0,,2,CAR,4.2,1.41,1.02,88.0,0.0,0.0,0,0,0,,
20114,2021,1,29,17,3,6,80,1023,6,Northbound On slip,0,,3,LGV,5.1,13.8,13.57,72.0,0.0,0.0,0,0,0,,
1509,2021,1,29,7,17,55,0,437,2,Southbound 2,0,,3,LGV,5.2,2.31,1.71,77.0,0.0,0.0,0,0,0,,
