date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
2021-10-31,15:30:40,1691486,4.1.1,x86_64,mingw32,corpus,0.10.2,NA,8
2021-10-31,15:30:40,1532180,4.1.1,x86_64,mingw32,tm,0.7-8,NA,8
2021-10-31,15:30:40,49129,4.1.1,x86_64,darwin17.0,clipr,0.7.1,DE,775
2021-10-31,15:30:41,14650563,4.1.1,x86_64,darwin17.0,stringi,1.7.5,US,119
2021-10-31,15:30:30,236424,4.1.1,x86_64,mingw32,magrittr,2.0.1,AT,1146
2021-10-31,15:30:22,122161,4.1.0,x86_64,mingw32,pmr,1.2.5,MA,792
2021-10-31,15:30:41,75386,4.1.1,x86_64,darwin17.0,generics,0.1.1,US,1027
2021-10-31,15:30:38,3524688,NA,NA,NA,sf,1.0-3,GB,13
2021-10-31,15:30:38,580757,4.1.1,i386,mingw32,AzureGraph,1.3.1,NA,8
2021-10-31,15:30:39,99542,4.1.1,x86_64,linux-gnu,glue,1.4.2,NL,969
2021-10-31,15:30:38,203208,4.1.1,x86_64,mingw32,svDialogs,1.0.3,KR,1194
2021-10-31,15:29:30,3743009,4.1.1,x86_64,darwin17.0,XML,3.99-0.8,NA,8
2021-10-31,15:28:07,606713,4.1.1,x86_64,mingw32,fs,1.5.0,NA,8
2021-10-31,15:30:44,179441,NA,NA,NA,ipred,0.9-12,NA,8
2021-10-31,15:30:39,329435,4.1.1,x86_64,mingw32,BiocManager,1.30.16,NA,8
2021-10-31,15:30:43,83012,4.1.1,x86_64,darwin17.0,R6,2.5.1,US,1027
2021-10-31,15:30:44,863599,4.1.1,x86_64,darwin17.0,curl,4.3.2,US,119
2021-10-31,15:30:44,12615,4.1.1,x86_64,darwin17.0,rematch,1.0.1,DE,775
2021-10-31,15:30:43,273824,4.1.1,x86_64,darwin17.0,rstudioapi,0.13,US,119
2021-10-31,15:30:35,3389862,NA,NA,NA,dslabs,0.7.4,US,1195
2021-10-31,15:30:35,8448,4.1.1,x86_64,linux-gnu,ellipsis,0.3.2,NL,969
2021-10-31,15:30:40,155415,4.1.1,x86_64,darwin17.0,crayon,1.4.2,DE,775
2021-10-31,15:30:37,689406,4.1.1,x86_64,darwin17.0,bit,4.0.4,DE,775
2021-10-31,15:30:39,851632,3.5.2,x86_64,linux-gnu,pkgdown,1.6.1,GB,9
2021-10-31,15:29:42,1290110,NA,NA,NA,bnlearn,4.7,US,1113
2021-10-31,15:30:30,354402,4.1.1,x86_64,mingw32,hypergeo,1.2-13,IN,1170
2021-10-31,15:30:30,2870587,4.1.1,x86_64,mingw32,RcppEigen,0.3.3.9.1,IN,1170
2021-10-31,15:30:31,792167,4.1.1,x86_64,mingw32,prismatic,1.1.0,IN,1170
2021-10-31,15:30:31,271850,4.1.1,x86_64,mingw32,mvtnorm,1.1-3,IN,1170
2021-10-31,15:30:31,117346,4.1.1,x86_64,mingw32,multcompView,0.1-8,IN,1170
2021-10-31,15:30:32,1217855,4.1.1,x86_64,mingw32,gmp,0.6-2,IN,1170
2021-10-31,15:30:33,1661051,4.1.1,x86_64,mingw32,Rmpfr,0.8-6,IN,1170
2021-10-31,15:30:33,482528,4.1.1,x86_64,mingw32,SuppDists,1.1-9.5,IN,1170
2021-10-31,15:30:34,271739,4.1.1,x86_64,mingw32,kSamples,1.2-9,IN,1170
2021-10-31,15:30:34,841836,4.1.1,x86_64,mingw32,BWStest,0.2.2,IN,1170
2021-10-31,15:30:35,5368707,4.1.1,x86_64,mingw32,BayesFactor,0.9.12-4.2,IN,1170
2021-10-31,15:30:36,1090392,4.1.1,x86_64,mingw32,effectsize,0.5,IN,1170
2021-10-31,15:30:42,1329959,4.1.1,x86_64,darwin17.0,rlang,0.4.12,US,1027
2021-10-31,15:30:44,45157,4.1.1,x86_64,darwin17.0,rematch2,2.1.2,US,119
2021-10-31,15:30:35,3063852,NA,NA,NA,ggplot2,3.3.5,GB,13
2021-10-31,15:30:37,2568908,NA,NA,NA,rgl,0.107.14,GB,13
2021-10-31,15:28:59,7215217,4.1.1,x86_64,mingw32,VGAM,1.1-5,NA,8
2021-10-31,15:30:32,86525,4.1.1,x86_64,mingw32,progress,1.2.2,NA,8
2021-10-31,15:30:39,1718052,4.1.1,x86_64,mingw32,readxl,1.3.1,NA,8
2021-10-31,15:30:47,1784421,4.1.1,x86_64,darwin17.0,promises,1.2.0.1,US,119
2021-10-31,15:30:33,40123,4.1.1,x86_64,linux-gnu,crayon,1.4.2,NL,969
2021-10-31,15:30:37,213515,4.1.1,x86_64,mingw32,withr,2.4.2,CN,1176
2021-10-31,15:30:37,327864,4.1.1,x86_64,mingw32,cpp11,0.4.0,CN,1176
2021-10-31,15:30:38,2046073,4.1.1,x86_64,mingw32,vroom,1.5.5,CN,1176
2021-10-31,15:30:45,1502029,4.0.3,x86_64,mingw32,plyr,1.8.6,NA,8
2021-10-31,15:30:45,171206,4.0.3,x86_64,mingw32,reshape,0.8.8,NA,8
2021-10-31,15:30:45,1637657,4.0.3,x86_64,mingw32,GGally,2.1.2,NA,8
2021-10-31,15:30:40,302496,4.1.1,x86_64,linux-gnu,fansi,0.5.0,NL,969
2021-10-31,15:30:38,2622059,4.1.1,x86_64,darwin17.0,colorspace,2.0-2,US,119
2021-10-31,15:30:37,126568,NA,NA,NA,prodlim,2019.11.13,NA,8
2021-10-31,15:30:43,783148,NA,NA,NA,vctrs,0.3.8,US,1081
2021-10-31,15:30:42,8593,NA,NA,NA,ellipsis,0.3.2,US,1081
