date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
2021-10-31,15:29:47,943899,4.1.1,x86_64,mingw32,xts,0.12.1,GB,1061
2021-10-31,15:29:47,530186,4.1.1,x86_64,mingw32,TTR,0.24.2,GB,1061
2021-10-31,15:29:48,50916,4.1.1,x86_64,mingw32,quadprog,1.5-8,GB,1061
2021-10-31,15:29:44,3063852,NA,NA,NA,ggplot2,3.3.5,GB,13
2021-10-31,15:29:44,930389,4.1.1,x86_64,linux-gnu,vcdExtra,0.5-4,NA,8
2021-10-31,15:28:26,1816898,NA,NA,NA,httpuv,1.6.3,US,42
2021-10-31,15:29:45,2339346,4.1.1,x86_64,darwin17.0,data.table,1.14.2,US,1027
2021-10-31,15:29:48,1481863,4.1.1,x86_64,darwin17.0,lubridate,1.8.0,US,1027
2021-10-31,15:29:42,3063852,NA,NA,NA,ggplot2,3.3.5,GB,9
2021-10-31,15:29:52,290393,3.5.2,x86_64,linux-gnu,rgeos,0.5-8,GB,9
2021-10-31,15:27:34,455086,4.1.1,x86_64,darwin17.0,ROCR,1.0-11,US,795
2021-10-31,15:29:44,232832,4.1.1,x86_64,darwin17.0,proxy,0.4-26,US,1027
2021-10-31,15:29:47,3524688,NA,NA,NA,sf,1.0-3,GB,9
2021-10-31,15:29:42,1593902,4.1.0,x86_64,mingw32,MTS,1.0.3,CO,794
2021-10-31,15:29:45,641818,4.0.3,x86_64,mingw32,boot,1.3-28,TW,824
2021-10-31,15:29:48,108850,4.0.3,x86_64,mingw32,class,7.3-19,TW,824
2021-10-31,15:29:49,618875,4.0.3,x86_64,mingw32,cluster,2.1.2,TW,824
2021-10-31,15:29:42,192631,4.0.4,x86_64,darwin17.0,chron,2.3-56,NA,8
2021-10-31,15:29:40,1289311,NA,NA,NA,plotmo,3.6.1,US,805
2021-10-31,15:29:38,7336003,4.1.1,x86_64,darwin17.0,lme4,1.1-27.1,NA,8
2021-10-31,15:29:41,421602,4.1.1,x86_64,darwin17.0,tidyverse,1.3.1,NA,8
2021-10-31,15:29:42,759355,4.1.1,x86_64,mingw32,cli,3.0.1,JP,1075
2021-10-31,15:29:42,954153,4.1.1,x86_64,mingw32,conquer,1.0.2,JP,1075
2021-10-31,15:29:43,1201495,4.1.1,x86_64,mingw32,rlang,0.4.12,JP,1075
2021-10-31,15:29:43,1661055,4.1.1,x86_64,mingw32,Rmpfr,0.8-6,JP,1075
2021-10-31,15:29:43,1426033,4.1.1,x86_64,mingw32,tzdb,0.1.2,JP,1075
2021-10-31,15:29:44,34395,4.1.1,x86_64,mingw32,uuid,0.1-4,JP,1075
2021-10-31,15:29:44,381741,4.1.1,x86_64,mingw32,xfun,0.27,JP,1075
2021-10-31,15:29:45,171708,4.1.1,x86_64,mingw32,sessioninfo,1.2.0,JP,1075
2021-10-31,15:29:39,36592,4.1.1,x86_64,darwin17.0,estimability,1.3,NA,8
2021-10-31,15:29:36,83695,4.1.1,aarch64,darwin20,progress,1.2.2,NA,8
2021-10-31,15:29:47,290393,NA,NA,NA,rgeos,0.5-8,GB,9
2021-10-31,15:29:46,851632,3.5.2,x86_64,linux-gnu,pkgdown,1.6.1,GB,9
2021-10-31,15:29:47,106220,4.1.1,x86_64,darwin17.0,lifecycle,1.0.1,US,1027
2021-10-31,15:29:40,371839,NA,NA,NA,devtools,2.4.2,GB,13
2021-10-31,15:29:46,1415011,4.1.1,x86_64,darwin17.0,vctrs,0.3.8,FR,1040
2021-10-31,15:29:47,36261,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,15:29:48,203838,4.1.1,x86_64,mingw32,modelr,0.1.8,DE,1030
