cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1065,2021,1,29,17,50,31,0,1070,2,Westbound,0,,7,CARAVAN,9.1,2.82,2.59,74.0,0.0,0.0,0,0,0,,
1071,2021,1,29,16,1,31,0,961,5,Westbound 2,0,,2,CAR,4.8,2.51,2.54,91.0,0.0,0.0,0,0,0,,
998,2021,1,29,5,19,20,0,319,2,Ch 2,0,,5,HGV_RIG,11.3,1.02,1.43,69.0,0.0,0.0,0,0,0,,
1256,2021,1,29,14,49,38,70,889,4,Northbound 1,0,,6,HGV_ART,18.1,3.04,2.75,68.0,0.0,0.0,0,0,0,,
200717,2021,1,29,9,36,37,20,576,4,Westbound 1,0,,2,CAR,4.8,11.6,11.33,119.0,0.0,0.0,0,0,0,,
15012,2021,1,29,11,30,13,10,690,4,Southbound 1,0,,2,CAR,4.2,14.2,14.07,119.0,0.0,0.0,0,0,0,,
20241,2021,1,29,15,39,38,0,939,2,Eastbound,0,,2,CAR,4.3,2.26,1.91,86.0,0.0,0.0,0,0,0,,
1073,2021,1,29,11,17,11,30,677,6,Westbound,0,,3,LGV,5.7,2.6,2.42,90.0,0.0,0.0,0,0,0,,
200722,2021,1,29,11,39,16,0,699,4,Westbound 1,0,,1,MBIKE,1.8,23.1,22.95,77.0,0.0,0.0,0,0,0,,
1013,2021,1,29,16,32,59,0,992,1,Southbound 1,0,,2,CAR,4.4,3.09,2.33,77.0,0.0,0.0,0,0,0,,
