cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
20087,2021,1,29,15,7,43,20,907,4,Southbound 1,0,,6,HGV_ART,17.8,9.6,9.44,92.0,0.0,0.0,0,0,0,,
1503,2021,1,29,17,37,0,0,1057,2,Northbound 2,0,,2,CAR,4.3,2.8,2.04,79.0,0.0,0.0,0,0,0,,
20522,2021,1,29,13,37,0,0,817,1,Northbound,0,,2,CAR,4.4,22.6,22.41,77.0,0.0,0.0,0,0,0,,
20111,2021,1,29,21,3,11,0,1263,2,Southbound 2,0,,2,CAR,4.6,18.6,18.45,119.0,0.0,0.0,0,0,0,,
1092,2021,1,29,18,34,32,0,1114,4,Southbound 1,0,,2,CAR,5.0,4.1,3.95,106.0,0.0,0.0,0,0,0,,
15010,2021,1,29,6,47,1,0,407,2,Southbound 2,0,,2,CAR,4.0,2.46,2.14,101.0,0.0,0.0,0,0,0,,
20076,2021,1,29,2,6,57,0,126,4,Westbound 1,0,,2,CAR,4.7,20.0,19.25,119.0,0.0,0.0,0,0,0,,
1092,2021,1,29,11,38,15,0,698,4,Southbound 1,0,,6,HGV_ART,18.8,21.7,21.48,86.0,0.0,0.0,0,0,0,,
20114,2021,1,29,15,3,55,0,903,3,Southbound 2,0,,2,CAR,4.2,4.9,4.75,110.0,0.0,0.0,0,0,0,,
1282,2021,1,29,8,34,35,0,514,1,Westbound,0,,2,CAR,4.1,1.2,0.23,57.0,0.0,0.0,0,0,0,,
