date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
2021-10-31,18:39:38,2870577,4.1.1,x86_64,mingw32,RcppEigen,0.3.3.9.1,NA,8
2021-10-31,18:39:38,1822868,4.1.1,x86_64,mingw32,carData,3.0-4,NA,8
2021-10-31,18:39:39,64273,4.1.1,x86_64,mingw32,abind,1.4-5,NA,8
2021-10-31,18:39:39,357684,4.1.1,x86_64,mingw32,pbkrtest,0.5.1,NA,8
2021-10-31,18:39:39,1943028,4.1.1,x86_64,mingw32,quantreg,5.86,NA,8
2021-10-31,18:39:40,2171804,4.1.1,x86_64,mingw32,maptools,1.1-2,NA,8
2021-10-31,18:39:25,794420,NA,NA,NA,zoo,1.8-9,US,278
2021-10-31,18:39:35,87834,4.1.1,x86_64,linux-gnu,foreach,1.5.1,NA,8
2021-10-31,18:39:39,26176,NA,NA,NA,hash,2.2.6.1,US,313
2021-10-31,18:39:27,60048,4.1.1,x86_64,linux-gnu,microbenchmark,1.4.8,NA,8
2021-10-31,18:39:38,73409,NA,NA,NA,rlist,0.4.6.2,US,313
2021-10-31,18:39:33,3384345,4.1.1,x86_64,darwin17.0,isoband,0.2.5,US,265
2021-10-31,18:39:33,3176671,4.0.5,x86_64,mingw32,plotly,4.10.0,KR,315
2021-10-31,18:37:22,794421,NA,NA,NA,zoo,1.8-9,US,72
2021-10-31,18:39:30,31322,NA,NA,NA,globals,0.14.0,US,290
2021-10-31,18:39:34,1201495,4.1.1,x86_64,mingw32,rlang,0.4.12,AR,316
2021-10-31,18:39:35,49738,4.1.1,x86_64,mingw32,ellipsis,0.3.2,AR,316
2021-10-31,18:39:29,116826,NA,NA,NA,proxy,0.4-26,US,78
2021-10-31,18:39:31,397909,4.0.5,x86_64,mingw32,devtools,2.4.2,CN,31
2021-10-31,18:39:31,1716675,4.1.1,x86_64,mingw32,lubridate,1.8.0,BR,1
2021-10-31,18:39:34,203839,4.1.1,x86_64,mingw32,modelr,0.1.8,BR,1
2021-10-31,18:39:35,1330211,4.1.1,x86_64,darwin17.0,rlang,0.4.12,US,265
2021-10-31,18:39:28,36923,4.1.1,x86_64,darwin17.0,ellipsis,0.3.2,US,265
2021-10-31,18:39:22,2616999,NA,NA,NA,plot3D,1.4,US,278
2021-10-31,18:39:34,12802239,NA,NA,NA,BH,1.75.0-0,US,44
2021-10-31,18:37:09,1123474,4.1.1,x86_64,darwin17.0,pROC,1.18.0,US,43
2021-10-31,18:39:34,1676016,NA,NA,NA,RcppArmadillo,0.10.7.0.0,US,290
2021-10-31,18:39:31,126586,NA,NA,NA,prodlim,2019.11.13,US,290
2021-10-31,18:39:34,2498589,4.1.1,x86_64,mingw32,AER,1.2-9,NA,8
2021-10-31,18:39:26,330670,NA,NA,NA,ff,4.0.5,US,248
2021-10-31,18:39:31,179404,NA,NA,NA,ipred,0.9-12,US,290
2021-10-31,18:39:34,851632,3.5.2,x86_64,linux-gnu,pkgdown,1.6.1,GB,9
2021-10-31,18:39:28,1097604,NA,NA,NA,pillar,1.6.4,US,286
2021-10-31,18:37:47,3119764,4.1.1,x86_64,mingw32,maps,3.4.0,PL,141
2021-10-31,18:37:51,53318,4.1.1,x86_64,mingw32,shapefiles,0.7,PL,141
2021-10-31,18:37:24,119489,4.1.1,x86_64,linux-gnu,xfun,0.27,NA,8
2021-10-31,18:39:26,176266,NA,NA,NA,Bessel,0.6-0,US,248
2021-10-31,18:39:27,23205,NA,NA,NA,corpcor,1.6.10,US,272
2021-10-31,18:39:27,975293,NA,NA,NA,rmgarch,1.3-7,US,272
2021-10-31,18:39:25,2905636,NA,NA,NA,rugarch,1.4-4,US,248
2021-10-31,18:39:33,126143,4.1.1,aarch64,darwin20,brglm,0.7.2,NA,8
2021-10-31,18:39:35,20539,3.5.2,x86_64,darwin15.6.0,sys,3.4,US,300
2021-10-31,18:38:23,585240,NA,NA,NA,forecast,8.15,HK,41
2021-10-31,18:39:34,851632,3.5.2,x86_64,linux-gnu,pkgdown,1.6.1,GB,9
2021-10-31,18:37:19,7034955,4.1.1,x86_64,darwin17.0,survival,3.2-13,US,43
2021-10-31,18:39:24,2568908,NA,NA,NA,rgl,0.107.14,GB,9
2021-10-31,18:39:30,1631954,NA,NA,NA,lava,1.6.10,US,290
2021-10-31,18:39:32,688966,NA,NA,NA,pROC,1.18.0,US,290
2021-10-31,18:39:27,3524687,NA,NA,NA,sf,1.0-3,GB,13
2021-10-31,18:39:27,3524687,NA,NA,NA,sf,1.0-3,GB,13
2021-10-31,18:39:27,290394,NA,NA,NA,rgeos,0.5-8,GB,13
2021-10-31,18:39:35,689579,4.1.1,x86_64,linux-gnu,pROC,1.18.0,NA,8
2021-10-31,18:39:29,852643,NA,NA,NA,dplyr,1.0.7,US,286
2021-10-31,18:39:25,2905629,NA,NA,NA,rugarch,1.4-4,IE,267
2021-10-31,18:39:27,16890,NA,NA,NA,spd,2.0-1,US,272
2021-10-31,18:39:31,1414931,4.1.1,x86_64,darwin17.0,vctrs,0.3.8,US,265
2021-10-31,18:39:27,1676008,NA,NA,NA,RcppArmadillo,0.10.7.0.0,US,248
