date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
2021-10-31,18:40:40,786261,4.1.1,x86_64,mingw32,crosstalk,1.1.1,US,339
2021-10-31,18:40:40,430391,4.1.1,x86_64,mingw32,purrr,0.3.4,US,339
2021-10-31,18:40:40,2600611,4.1.1,x86_64,mingw32,data.table,1.14.2,US,339
2021-10-31,18:40:40,2320560,4.1.1,x86_64,mingw32,promises,1.2.0.1,US,339
2021-10-31,18:40:41,1696644,4.1.1,x86_64,mingw32,httpuv,1.6.3,US,339
2021-10-31,18:40:41,48619,4.1.1,x86_64,mingw32,mime,0.12,US,339
2021-10-31,18:40:41,707302,4.1.1,x86_64,mingw32,xtable,1.8-4,US,339
2021-10-31,18:40:41,1529718,4.1.1,x86_64,mingw32,fontawesome,0.2.2,US,339
2021-10-31,18:40:41,691987,4.1.1,x86_64,mingw32,sourcetools,0.1.7,US,339
2021-10-31,18:40:41,860647,4.1.1,x86_64,mingw32,later,1.3.0,US,339
2021-10-31,18:40:41,216029,4.1.1,x86_64,mingw32,fastmap,1.1.0,US,339
2021-10-31,18:40:42,266282,4.1.1,x86_64,mingw32,commonmark,1.7,US,339
2021-10-31,18:40:42,5038832,4.1.1,x86_64,mingw32,bslib,0.3.1,US,339
2021-10-31,18:40:42,79483,4.1.1,x86_64,mingw32,cachem,1.0.6,US,339
2021-10-31,18:40:43,16449892,4.1.1,x86_64,mingw32,stringi,1.7.5,US,339
2021-10-31,18:40:29,564494,4.1.1,x86_64,linux-gnu,tzdb,0.2.0,NL,435
2021-10-31,18:40:35,36260,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,18:40:39,557033,NA,NA,NA,js,1.2,GB,13
2021-10-31,18:40:37,61794,NA,NA,NA,pkgload,1.2.3,US,153
2021-10-31,18:38:56,2645712,4.1.1,x86_64,mingw32,colorspace,2.0-2,CL,323
2021-10-31,18:38:56,60433,4.1.1,x86_64,mingw32,sys,3.4,CL,323
2021-10-31,18:38:57,638312,4.1.1,x86_64,mingw32,bit,4.0.4,CL,323
2021-10-31,18:38:57,776251,4.1.1,x86_64,mingw32,ps,1.6.0,CL,323
2021-10-31,18:38:57,43692,4.1.1,x86_64,mingw32,base64enc,0.1-3,CL,323
2021-10-31,18:38:57,216031,4.1.1,x86_64,mingw32,fastmap,1.1.0,CL,323
2021-10-31,18:38:57,59396,4.1.1,x86_64,mingw32,rappdirs,0.3.3,CL,323
2021-10-31,18:38:57,16774,4.1.1,x86_64,mingw32,rematch,1.0.1,CL,323
2021-10-31,18:38:57,1753197,4.1.1,x86_64,mingw32,farver,2.1.0,CL,323
2021-10-31,18:38:57,63213,4.1.1,x86_64,mingw32,labeling,0.4.2,CL,323
2021-10-31,18:38:58,245895,4.1.1,x86_64,mingw32,munsell,0.5.0,CL,323
2021-10-31,18:38:58,56241,4.1.1,x86_64,mingw32,RColorBrewer,1.1-2,CL,323
2021-10-31,18:38:58,1300028,4.1.1,x86_64,mingw32,viridisLite,0.4.0,CL,323
2021-10-31,18:38:58,244194,4.1.1,x86_64,mingw32,askpass,1.1,CL,323
2021-10-31,18:38:58,566266,4.1.1,x86_64,mingw32,bit64,4.0.5,CL,323
2021-10-31,18:38:58,38433,4.1.1,x86_64,mingw32,prettyunits,1.1.1,CL,323
2021-10-31,18:38:58,1247250,4.1.1,x86_64,mingw32,processx,3.5.2,CL,323
2021-10-31,18:38:58,77367,4.1.1,x86_64,mingw32,evaluate,0.14,CL,323
2021-10-31,18:38:59,47271,4.1.1,x86_64,mingw32,highr,0.9,CL,323
2021-10-31,18:38:59,208405,4.1.1,x86_64,mingw32,yaml,2.2.1,CL,323
2021-10-31,18:38:59,381741,4.1.1,x86_64,mingw32,xfun,0.27,CL,323
2021-10-31,18:38:59,348017,4.1.1,x86_64,mingw32,htmltools,0.5.2,CL,323
2021-10-31,18:38:59,124481,4.1.1,x86_64,mingw32,tinytex,0.34,CL,323
2021-10-31,18:38:59,526396,4.1.1,x86_64,mingw32,jquerylib,0.1.4,CL,323
2021-10-31,18:38:59,105541,4.1.1,x86_64,mingw32,backports,1.3.0,CL,323
2021-10-31,18:38:59,49728,4.1.1,x86_64,mingw32,ellipsis,0.3.2,CL,323
2021-10-31,18:38:59,76627,4.1.1,x86_64,mingw32,generics,0.1.1,CL,323
2021-10-31,18:37:09,296319,4.1.1,x86_64,linux-gnu,desc,1.4.0,NA,8
2021-10-31,18:37:14,1633902,NA,NA,NA,RcppEigen,0.3.3.9.1,US,309
2021-10-31,18:37:13,170883,NA,NA,NA,tseries,0.10-48,US,305
2021-10-31,18:37:14,37649,NA,NA,NA,doParallel,1.0.16,US,321
2021-10-31,18:39:33,203623,4.1.1,x86_64,darwin17.0,yaml,2.2.1,NA,8
2021-10-31,18:40:40,427738,3.5.2,x86_64,linux-gnu,ragg,1.2.0,GB,9
2021-10-31,18:40:41,32077,4.1.1,x86_64,darwin17.0,base64enc,0.1-3,NA,8
2021-10-31,18:40:41,1126256,4.1.1,x86_64,mingw32,rbibutils,2.2.4,NA,8
2021-10-31,18:40:41,314023,4.1.1,x86_64,mingw32,bdsmatrix,1.3-4,NA,8
2021-10-31,18:40:41,922239,4.1.1,x86_64,mingw32,Rdpack,2.1.2,NA,8
2021-10-31,18:40:32,3524687,NA,NA,NA,sf,1.0-3,GB,13
2021-10-31,18:40:34,427738,3.5.2,x86_64,linux-gnu,ragg,1.2.0,GB,9
2021-10-31,18:40:33,36260,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,18:40:34,19124,NA,NA,NA,jpeg,0.1-9,US,44
2021-10-31,18:40:38,70795,4.1.1,x86_64,darwin17.0,ellipse,0.4.2,NA,8
2021-10-31,18:40:17,272712,3.5.2,x86_64,darwin15.6.0,xml2,1.3.2,US,300
2021-10-31,18:37:38,47467,4.1.1,x86_64,darwin17.0,uuid,1.0-2,CA,357
2021-10-31,18:40:33,557033,NA,NA,NA,js,1.2,GB,13
2021-10-31,18:40:37,527156,4.1.1,x86_64,darwin17.0,jquerylib,0.1.4,NA,8
2021-10-31,18:40:30,897579,NA,NA,NA,RMariaDB,1.1.2,KR,472
2021-10-31,18:37:48,526395,4.1.1,x86_64,mingw32,jquerylib,0.1.4,CO,467
2021-10-31,18:37:50,82519,4.1.1,x86_64,mingw32,R.methodsS3,1.8.1,CO,467
2021-10-31,18:37:50,967266,4.1.1,x86_64,mingw32,R.oo,1.24.0,CO,467
2021-10-31,18:37:52,1412171,4.1.1,x86_64,mingw32,R.utils,2.11.0,CO,467
2021-10-31,18:37:53,245958,4.1.1,x86_64,mingw32,proxy,0.4-26,CO,467
2021-10-31,18:40:32,426518,3.5.2,x86_64,mingw32,processx,3.4.2,SE,476
2021-10-31,18:40:33,75057,3.5.2,x86_64,mingw32,callr,3.7.0,SE,476
2021-10-31,18:40:33,30921,3.5.2,x86_64,mingw32,pkgbuild,1.2.0,SE,476
2021-10-31,18:40:34,36260,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,18:40:40,3534998,NA,NA,NA,seqinr,4.2-8,US,153
2021-10-31,18:40:26,217601,NA,NA,NA,queueing,0.2.12,US,477
2021-10-31,18:40:33,12069,NA,NA,NA,RColorBrewer,1.1-2,US,44
2021-10-31,18:40:34,4445,NA,NA,NA,futile.options,1.0.1,US,44
2021-10-31,18:40:39,4705504,4.0.3,x86_64,darwin17.0,ggmap,3.0.0,NA,8
2021-10-31,18:40:36,412404,4.1.1,x86_64,mingw32,lmtest,0.9-38,NA,8
2021-10-31,18:40:36,136368,4.1.1,x86_64,linux-gnu,stringr,1.4.0,NL,435
2021-10-31,18:39:51,1029158,4.1.1,x86_64,darwin17.0,pillar,1.6.4,NA,8
2021-10-31,18:39:52,1853053,4.1.1,x86_64,darwin17.0,readr,2.0.2,NA,8
2021-10-31,18:39:49,114452,4.1.1,x86_64,mingw32,brew,1.0-6,CR,15
2021-10-31,18:39:50,1347946,4.1.1,x86_64,mingw32,roxygen2,7.1.2,CR,15
2021-10-31,18:40:35,83039,4.1.1,x86_64,darwin17.0,R6,2.5.1,NA,8
2021-10-31,18:40:41,2339822,4.1.1,x86_64,darwin17.0,data.table,1.14.2,NA,8
2021-10-31,18:40:41,157088,4.1.1,x86_64,darwin17.0,lazyeval,0.2.2,NA,8
2021-10-31,18:37:12,155053,NA,NA,NA,quantmod,0.4.18,US,295
2021-10-31,18:40:37,494464,4.0.3,x86_64,darwin17.0,RgoogleMaps,1.4.5.3,NA,8
