date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
2021-10-31,15:31:21,601363,4.1.1,x86_64,mingw32,ggsignif,0.6.3,FR,1123
2021-10-31,15:31:21,313341,4.1.1,x86_64,mingw32,polynom,1.4-0,FR,1123
2021-10-31,15:31:22,608307,4.1.1,x86_64,mingw32,rstatix,0.7.0,FR,1123
2021-10-31,15:31:22,1907189,4.1.1,x86_64,mingw32,ggpubr,0.4.0,FR,1123
2021-10-31,15:31:24,818457,4.1.1,x86_64,mingw32,reshape2,1.4.4,FR,1123
2021-10-31,15:31:26,1070743,4.1.1,x86_64,mingw32,tidyr,1.1.4,FR,1123
2021-10-31,15:31:27,417231,4.1.1,x86_64,mingw32,factoextra,1.0.7,FR,1123
2021-10-31,15:31:22,215370,4.1.1,x86_64,darwin17.0,spatstat.sparse,2.0-0,US,119
2021-10-31,15:31:22,427739,3.5.2,x86_64,linux-gnu,ragg,1.2.0,GB,9
2021-10-31,15:31:18,199330,NA,NA,NA,tidyselect,1.1.1,CN,793
2021-10-31,15:31:25,12684,NA,NA,NA,rappdirs,0.3.3,CN,1257
2021-10-31,15:31:08,766154,4.1.1,x86_64,mingw32,rpart,4.1-15,JP,1263
2021-10-31,15:29:48,10031099,NA,NA,NA,RWekajars,3.9.3-2,US,79
2021-10-31,15:29:41,313948,NA,NA,NA,gargle,1.2.0,US,884
2021-10-31,15:29:43,482592,NA,NA,NA,cli,3.1.0,US,884
2021-10-31,15:29:44,258842,NA,NA,NA,forcats,0.5.1,US,879
2021-10-31,15:31:01,139336,NA,NA,NA,glue,1.4.2,NA,8
2021-10-31,15:31:18,690586,4.0.3,x86_64,darwin17.0,striprtf,0.5.3,GB,1231
2021-10-31,15:31:22,557033,NA,NA,NA,js,1.2,GB,9
2021-10-31,15:31:23,845144,4.1.1,x86_64,darwin17.0,leafsync,0.1.0,US,119
2021-10-31,15:31:14,2189851,4.0.5,x86_64,mingw32,Rcpp,1.0.7,CN,1264
2021-10-31,15:31:23,1631946,NA,NA,NA,lava,1.6.10,US,1093
2021-10-31,15:31:18,2259813,4.1.1,i386,mingw32,ggridges,0.5.3,GB,972
2021-10-31,15:31:14,4179709,4.1.1,x86_64,darwin17.0,shiny,1.7.1,US,1228
2021-10-31,15:31:27,801021,NA,NA,NA,dbplyr,2.1.1,NA,8
2021-10-31,15:31:08,2184982,NA,NA,NA,glmnet,4.1-2,US,932
2021-10-31,15:31:24,373183,4.1.1,x86_64,mingw32,Nozzle.R1,1.1-1,IN,114
2021-10-31,15:31:10,1266409,4.0.3,x86_64,darwin17.0,dplyr,1.0.7,NA,8
2021-10-31,15:31:22,371839,NA,NA,NA,devtools,2.4.2,GB,13
2021-10-31,15:30:59,99558,NA,NA,NA,glue,1.4.2,US,1212
2021-10-31,15:31:22,851632,3.5.2,x86_64,linux-gnu,pkgdown,1.6.1,GB,9
2021-10-31,15:29:17,836182,4.1.1,x86_64,mingw32,dbplyr,2.1.1,NA,8
2021-10-31,15:29:17,43044,4.1.1,x86_64,mingw32,DEoptimR,1.0-9,NA,8
2021-10-31,15:29:17,537113,4.1.1,x86_64,mingw32,desc,1.4.0,NA,8
2021-10-31,15:29:17,270077,4.1.1,x86_64,mingw32,digest,0.6.28,NA,8
2021-10-31,15:29:17,1345128,4.1.1,x86_64,mingw32,dplyr,1.0.7,NA,8
2021-10-31,15:29:18,1794379,4.1.1,x86_64,mingw32,DT,0.19,NA,8
2021-10-31,15:29:18,243332,4.1.1,x86_64,mingw32,dtplyr,1.1.0,NA,8
2021-10-31,15:29:18,1023961,4.1.1,x86_64,mingw32,e1071,1.7-9,NA,8
2021-10-31,15:29:18,72584,4.1.1,x86_64,mingw32,ellipse,0.4.2,NA,8
2021-10-31,15:29:18,49738,4.1.1,x86_64,mingw32,ellipsis,0.3.2,NA,8
2021-10-31,15:29:18,666389,4.1.1,x86_64,mingw32,epiDisplay,3.5.0.1,NA,8
2021-10-31,15:29:18,77377,4.1.1,x86_64,mingw32,evaluate,0.14,NA,8
2021-10-31,15:29:19,417238,4.1.1,x86_64,mingw32,factoextra,1.0.7,NA,8
2021-10-31,15:29:19,3758640,4.1.1,x86_64,mingw32,FactoMineR,2.4,NA,8
2021-10-31,15:29:20,249318,4.1.1,x86_64,mingw32,fansi,0.5.0,NA,8
2021-10-31,15:29:20,1753198,4.1.1,x86_64,mingw32,farver,2.1.0,NA,8
2021-10-31,15:29:20,216020,4.1.1,x86_64,mingw32,fastmap,1.1.0,NA,8
2021-10-31,15:29:20,135158,4.1.1,x86_64,mingw32,fit.models,0.64,NA,8
2021-10-31,15:29:20,37479,4.1.1,x86_64,mingw32,flashClust,1.01-2,NA,8
2021-10-31,15:29:20,358555,4.1.1,x86_64,mingw32,forcats,0.5.1,NA,8
2021-10-31,15:29:20,146621,4.1.1,x86_64,mingw32,foreach,1.5.1,NA,8
2021-10-31,15:29:21,178208,4.1.1,x86_64,mingw32,Formula,1.2-4,NA,8
2021-10-31,15:29:21,606718,4.1.1,x86_64,mingw32,fs,1.5.0,NA,8
2021-10-31,15:29:21,538391,4.1.1,x86_64,mingw32,gargle,1.2.0,NA,8
2021-10-31,15:29:21,1264867,4.1.1,x86_64,mingw32,gdata,2.18.0,NA,8
2021-10-31,15:29:21,76627,4.1.1,x86_64,mingw32,generics,0.1.1,NA,8
2021-10-31,15:29:21,4130385,4.1.1,x86_64,mingw32,ggplot2,3.3.5,NA,8
2021-10-31,15:29:22,1907178,4.1.1,x86_64,mingw32,ggpubr,0.4.0,NA,8
2021-10-31,15:29:22,1119795,4.1.1,x86_64,mingw32,ggrepel,0.9.1,NA,8
2021-10-31,15:29:22,2979589,4.1.1,x86_64,mingw32,ggsci,2.9,NA,8
2021-10-31,15:30:59,16277,4.1.1,x86_64,mingw32,ini,0.3.1,NA,8
2021-10-31,15:31:00,97905,4.1.1,x86_64,mingw32,gitcreds,0.1.1,NA,8
2021-10-31,15:31:00,759356,4.1.1,x86_64,mingw32,cli,3.0.1,NA,8
2021-10-31,15:31:00,175061,4.1.1,x86_64,mingw32,credentials,1.3.1,NA,8
2021-10-31,15:31:00,1042318,4.1.1,x86_64,mingw32,pillar,1.6.4,NA,8
2021-10-31,15:31:01,1201491,4.1.1,x86_64,mingw32,rlang,0.4.12,NA,8
2021-10-31,15:31:01,381730,4.1.1,x86_64,mingw32,xfun,0.27,NA,8
2021-10-31,15:31:12,96859,4.1.1,x86_64,darwin17.0,rprojroot,2.0.2,US,1228
2021-10-31,15:31:21,48073,4.1.1,x86_64,darwin17.0,memoise,2.0.0,US,119
2021-10-31,15:31:11,66715,4.1.1,x86_64,darwin17.0,cachem,1.0.6,US,1228
2021-10-31,15:31:10,22338,NA,NA,NA,abind,1.4-5,US,996
2021-10-31,15:31:23,371839,3.5.2,x86_64,linux-gnu,devtools,2.4.2,GB,9
2021-10-31,15:31:26,9729,NA,NA,NA,RcppRoll,0.3.0,US,1265
2021-10-31,15:31:24,136296,NA,NA,NA,stringr,1.4.0,NA,8
2021-10-31,15:31:24,25399,NA,NA,NA,png,0.1-7,NA,8
2021-10-31,15:31:22,189325,4.1.1,x86_64,mingw32,markdown,1.1,US,1266
2021-10-31,15:31:25,124480,4.1.1,x86_64,mingw32,tinytex,0.34,US,1266
2021-10-31,15:31:17,1247249,4.1.1,x86_64,mingw32,processx,3.5.2,NA,8
2021-10-31,15:31:17,77378,4.1.1,x86_64,mingw32,evaluate,0.14,NA,8
2021-10-31,15:31:17,47270,4.1.1,x86_64,mingw32,highr,0.9,NA,8
2021-10-31,15:31:18,208416,4.1.1,x86_64,mingw32,yaml,2.2.1,NA,8
2021-10-31,15:31:18,381740,4.1.1,x86_64,mingw32,xfun,0.27,NA,8
2021-10-31,15:31:18,348016,4.1.1,x86_64,mingw32,htmltools,0.5.2,NA,8
2021-10-31,15:31:18,124481,4.1.1,x86_64,mingw32,tinytex,0.34,NA,8
2021-10-31,15:31:18,526396,4.1.1,x86_64,mingw32,jquerylib,0.1.4,NA,8
2021-10-31,15:31:19,105542,4.1.1,x86_64,mingw32,backports,1.3.0,NA,8
2021-10-31,15:31:19,49728,4.1.1,x86_64,mingw32,ellipsis,0.3.2,NA,8
2021-10-31,15:31:19,76626,4.1.1,x86_64,mingw32,generics,0.1.1,NA,8
2021-10-31,15:31:19,156223,4.1.1,x86_64,mingw32,glue,1.4.2,NA,8
2021-10-31,15:31:19,55527,4.1.1,x86_64,mingw32,assertthat,0.2.1,NA,8
2021-10-31,15:31:19,48769,4.1.1,x86_64,mingw32,blob,1.2.2,NA,8
2021-10-31,15:31:20,688512,4.1.1,x86_64,mingw32,DBI,1.1.1,NA,8
2021-10-31,15:31:20,123860,4.1.1,x86_64,mingw32,lifecycle,1.0.1,NA,8
2021-10-31,15:31:20,84771,4.1.1,x86_64,mingw32,R6,2.5.1,NA,8
2021-10-31,15:31:20,204911,4.1.1,x86_64,mingw32,tidyselect,1.1.1,NA,8
2021-10-31,15:31:21,1254559,4.1.1,x86_64,mingw32,vctrs,0.3.8,NA,8
2021-10-31,15:31:21,213519,4.1.1,x86_64,mingw32,withr,2.4.2,NA,8
2021-10-31,15:31:22,2600621,4.1.1,x86_64,mingw32,data.table,1.14.2,NA,8
2021-10-31,15:29:45,476244,NA,NA,NA,lubridate,1.8.0,US,884
2021-10-31,15:29:43,852644,NA,NA,NA,dplyr,1.0.7,US,884
2021-10-31,15:29:46,111002,NA,NA,NA,rstudioapi,0.13,US,884
2021-10-31,15:31:16,961601,3.5.1,x86_64,mingw32,xts,0.12-0,BE,605
2021-10-31,15:31:17,206304,3.5.1,x86_64,mingw32,yaml,2.2.1,BE,605
2021-10-31,15:31:17,1103348,3.5.1,x86_64,mingw32,zoo,1.8-7,BE,605
2021-10-31,15:31:23,350768,NA,NA,NA,future,1.23.0,US,1093
2021-10-31,15:31:19,632147,NA,NA,NA,broom,0.7.9,US,1247
2021-10-31,15:31:29,183249,NA,NA,NA,munsell,0.5.0,CN,1257
2021-10-31,15:31:20,97299,3.6.2,x86_64,darwin15.6.0,alphashape3d,1.3.1,CA,1003
2021-10-31,15:31:26,9729,NA,NA,NA,RcppRoll,0.3.0,US,1267
2021-10-31,15:31:22,2568908,NA,NA,NA,rgl,0.107.14,GB,9
2021-10-31,15:31:21,573122,3.6.2,x86_64,darwin15.6.0,js,1.2,CA,1003
2021-10-31,15:31:17,147188,4.1.1,x86_64,darwin17.0,dichromat,2.0-0,US,119
2021-10-31,15:29:45,519590,NA,NA,NA,readr,2.0.2,US,884
2021-10-31,15:29:43,94823,NA,NA,NA,withr,2.4.2,US,879
2021-10-31,15:29:42,8603,NA,NA,NA,ellipsis,0.3.2,US,884
2021-10-31,15:31:07,502453,NA,NA,NA,gargle,1.2.0,NA,8
2021-10-31,15:31:24,212784,3.6.3,x86_64,mingw32,withr,2.4.2,GB,990
2021-10-31,15:31:16,60422,4.1.1,x86_64,mingw32,sys,3.4,NA,8
2021-10-31,15:31:16,244183,4.1.1,x86_64,mingw32,askpass,1.1,NA,8
2021-10-31,15:31:16,606707,4.1.1,x86_64,mingw32,fs,1.5.0,NA,8
2021-10-31,15:31:17,59385,4.1.1,x86_64,mingw32,rappdirs,0.3.3,NA,8
2021-10-31,15:31:17,303623,4.1.1,x86_64,mingw32,rstudioapi,0.13,NA,8
2021-10-31,15:31:20,4322979,4.1.1,x86_64,mingw32,curl,4.3.2,NA,8
2021-10-31,15:31:21,48619,4.1.1,x86_64,mingw32,mime,0.12,NA,8
2021-10-31,15:31:23,4102473,4.1.1,x86_64,mingw32,openssl,1.4.5,NA,8
2021-10-31,15:31:24,538380,4.1.1,x86_64,mingw32,gargle,1.2.0,NA,8
2021-10-31,15:31:12,334031,4.0.5,x86_64,darwin17.0,htmltools,0.5.2,US,1248
2021-10-31,15:29:42,564033,NA,NA,NA,tzdb,0.2.0,US,879
2021-10-31,15:29:44,222579,NA,NA,NA,googlesheets4,1.0.0,US,884
2021-10-31,15:31:20,20535,NA,NA,NA,sys,3.4,CN,1257
2021-10-31,15:31:15,6872497,4.0.3,x86_64,darwin17.0,pdftools,3.0.1,GB,1231
2021-10-31,15:31:22,416972,4.1.1,x86_64,darwin17.0,tseries,0.10-48,AU,1268
2021-10-31,15:31:22,1093999,4.1.1,x86_64,darwin17.0,urca,1.3-0,AU,1268
2021-10-31,15:31:27,838495,NA,NA,NA,reticulate,1.22,NA,8
2021-10-31,15:31:21,2400956,NA,NA,NA,shinystan,2.5.0,US,335
2021-10-31,15:28:47,1267622,NA,NA,NA,viridisLite,0.4.0,US,79
2021-10-31,15:29:46,862199,NA,NA,NA,rlang,0.4.12,US,884
2021-10-31,15:29:45,1097605,NA,NA,NA,pillar,1.6.4,US,879
2021-10-31,15:31:24,454189,4.1.1,x86_64,darwin17.0,classInt,0.4-3,US,119
2021-10-31,15:31:26,371839,NA,NA,NA,devtools,2.4.2,GB,9
2021-10-31,15:31:21,2705341,4.0.2,x86_64,mingw32,RcppArmadillo,0.10.7.0.0,SN,811
2021-10-31,15:31:24,3073709,4.0.2,x86_64,mingw32,RCurl,1.98-1.5,SN,811
2021-10-31,15:31:26,1322821,NA,NA,NA,openxlsx,4.2.4,US,1093
2021-10-31,15:31:24,557033,NA,NA,NA,js,1.2,GB,13
2021-10-31,15:31:29,3063852,3.5.2,x86_64,linux-gnu,ggplot2,3.3.5,GB,9
2021-10-31,15:31:23,1672453,NA,NA,NA,isoband,0.2.5,US,1093
2021-10-31,15:31:26,1594932,NA,NA,NA,maptools,1.1-2,US,1093
2021-10-31,15:31:08,677798,NA,NA,NA,shape,1.4.6,US,932
2021-10-31,15:31:17,67612,4.0.3,x86_64,darwin17.0,streamR,0.4.5,GB,1231
2021-10-31,15:31:18,896248,4.1.1,x86_64,darwin17.0,htmlwidgets,1.5.4,US,119
2021-10-31,15:31:23,36261,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,15:31:22,120231,NA,NA,NA,ps,1.6.0,CN,1257
2021-10-31,15:31:19,421956,4.0.3,x86_64,darwin17.0,tidyverse,1.3.1,AU,1230
2021-10-31,15:31:22,1419554,4.1.1,x86_64,darwin17.0,knitr,1.36,TR,1200
2021-10-31,15:31:24,672329,4.1.1,x86_64,darwin17.0,DBI,1.1.1,US,119
2021-10-31,15:31:26,1017343,NA,NA,NA,quantreg,5.86,US,1093
2021-10-31,15:31:23,242074,NA,NA,NA,SQUAREM,2021.1,US,1093
2021-10-31,15:31:26,318757,NA,NA,NA,plotrix,3.8-2,US,1093
2021-10-31,15:31:26,994076,NA,NA,NA,carData,3.0-4,US,1093
2021-10-31,15:31:24,905696,4.0.2,x86_64,mingw32,htmlwidgets,1.5.4,SG,971
2021-10-31,15:31:24,786315,4.0.2,x86_64,mingw32,crosstalk,1.1.1,SG,971
2021-10-31,15:31:24,526257,4.0.2,x86_64,mingw32,jquerylib,0.1.4,SG,971
2021-10-31,15:31:24,2320611,4.0.2,x86_64,mingw32,promises,1.2.0.1,SG,971
2021-10-31,15:31:25,1794467,4.0.2,x86_64,mingw32,DT,0.19,SG,971
2021-10-31,15:31:03,201617,NA,NA,NA,matrixStats,0.61.0,US,1069
2021-10-31,15:31:19,1914537,4.1.1,x86_64,darwin17.0,leafpop,0.1.0,US,119
2021-10-31,15:31:14,1722717,4.1.1,x86_64,mingw32,RcppMeCab,0.0.1.2,IT,48
2021-10-31,15:31:17,846232,NA,NA,NA,tibble,3.1.5,CN,793
2021-10-31,15:31:23,58874,4.1.1,i386,mingw32,badger,0.1.0,NA,8
2021-10-31,15:31:24,157379,4.1.1,i386,mingw32,BAEssd,1.0.1,NA,8
2021-10-31,15:31:25,79486,4.1.1,i386,mingw32,bagged.outliertrees,1.0.0,NA,8
2021-10-31,15:31:25,19873,4.1.1,i386,mingw32,baggedcv,1.0,NA,8
2021-10-31,15:31:23,851632,3.5.2,x86_64,linux-gnu,pkgdown,1.6.1,GB,9
2021-10-31,15:31:22,538380,4.1.1,x86_64,mingw32,gargle,1.2.0,NA,8
2021-10-31,15:31:23,34384,4.1.1,x86_64,mingw32,uuid,0.1-4,NA,8
2021-10-31,15:31:23,105434,4.1.1,x86_64,mingw32,cellranger,1.1.0,NA,8
2021-10-31,15:31:23,4322989,4.1.1,x86_64,mingw32,curl,4.3.2,NA,8
