cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
20021,2021,1,29,16,45,56,0,1005,1,Northbound 1,0,,2,CAR,4.1,1.57,0.81,63.0,0.0,0.0,0,0,0,,
20032,2021,1,29,9,46,4,10,586,2,Northbound,0,,3,LGV,5.0,3.43,3.4,94.0,0.0,0.0,0,0,0,,
20094,2021,1,29,16,45,21,0,1005,1,Northbound 1,0,,2,CAR,4.5,7.8,7.65,105.0,0.0,0.0,0,0,0,,
1070,2021,1,29,16,4,26,0,964,5,Westbound 4,0,,2,CAR,4.3,1.32,1.29,78.0,0.0,0.0,0,0,0,,
1717,2021,1,29,8,31,1,50,511,2,Eastbound,0,,6,HGV_ART,13.6,0.0,0.0,77.0,0.0,0.0,0,0,0,,
20561,2021,1,29,7,15,12,90,435,3,Southbound 2,0,,2,CAR,4.2,5.0,4.79,75.0,0.0,0.0,0,0,0,,
20076,2021,1,29,14,35,40,50,875,3,Westbound 2,0,,2,CAR,4.2,2.43,1.65,95.0,0.0,0.0,0,0,0,,
1132,2021,1,29,13,50,4,0,830,1,Eastbound 1,0,,2,CAR,4.1,10.6,10.45,78.0,0.0,0.0,0,0,0,,
20222,2021,1,29,17,37,30,0,1057,1,Eastbound 1,0,,2,CAR,4.3,2.63,1.9,78.0,0.0,0.0,0,0,0,,
200811,2021,1,29,18,37,24,0,1117,2,Westbound 1,0,,2,CAR,4.1,30.3,30.12,76.0,0.0,0.0,0,0,0,,
