date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
2021-10-31,15:31:42,290393,NA,NA,NA,rgeos,0.5-8,GB,9
2021-10-31,15:31:43,2568908,NA,NA,NA,rgl,0.107.14,GB,13
2021-10-31,15:31:35,1094243,4.1.1,x86_64,darwin17.0,urca,1.3-0,MY,700
2021-10-31,15:30:50,47994,NA,NA,NA,sys,3.4,NA,8
2021-10-31,15:31:36,290393,3.5.2,x86_64,linux-gnu,rgeos,0.5-8,GB,9
2021-10-31,15:30:55,1297131,NA,NA,NA,viridisLite,0.4.0,NA,8
2021-10-31,15:31:46,202248,NA,NA,NA,gam,1.20,NA,8
2021-10-31,15:29:35,2198261,NA,NA,NA,JSM,1.0.1,US,84
2021-10-31,15:31:45,165274,NA,NA,NA,generics,0.1.1,CN,1257
2021-10-31,15:31:42,36261,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,15:31:43,29916,4.1.1,x86_64,linux-gnu,progress,1.2.2,US,1028
2021-10-31,15:31:50,1171625,NA,NA,NA,RJSONIO,1.3-1.6,US,1155
2021-10-31,15:31:42,427739,3.5.2,x86_64,linux-gnu,ragg,1.2.0,GB,9
2021-10-31,15:31:41,744340,NA,NA,NA,DBI,1.1.1,US,1081
2021-10-31,15:31:38,423221,4.1.1,x86_64,darwin17.0,prodlim,2019.11.13,TR,1200
2021-10-31,15:31:44,87826,NA,NA,NA,foreach,1.5.1,NA,8
2021-10-31,15:31:40,4102,4.1.1,x86_64,linux-gnu,rematch,1.0.1,US,1028
2021-10-31,15:31:38,851632,NA,NA,NA,pkgdown,1.6.1,GB,13
2021-10-31,15:31:47,275179,NA,NA,NA,pacman,0.5.1,AT,1306
2021-10-31,15:31:40,785174,3.5.2,x86_64,linux-gnu,Hmisc,4.6-0,GB,9
2021-10-31,15:31:38,557033,NA,NA,NA,js,1.2,GB,13
2021-10-31,15:30:53,862199,NA,NA,NA,rlang,0.4.12,US,1113
2021-10-31,15:31:41,762141,NA,NA,NA,insight,0.14.5,TR,1307
2021-10-31,15:31:41,171708,NA,NA,NA,sessioninfo,1.2.0,CN,793
2021-10-31,15:31:43,160487,4.0.3,x86_64,linux-gnu,httr,1.4.2,US,36
2021-10-31,15:31:47,1254557,4.1.0,x86_64,mingw32,vctrs,0.3.8,NA,8
2021-10-31,15:31:39,125050,NA,NA,NA,htmltools,0.5.2,NA,8
2021-10-31,15:31:34,851632,3.5.2,x86_64,linux-gnu,pkgdown,1.6.1,GB,9
2021-10-31,15:31:27,372178,NA,NA,NA,devtools,2.4.2,US,1292
2021-10-31,15:31:49,785174,3.5.2,x86_64,linux-gnu,Hmisc,4.6-0,GB,9
2021-10-31,15:31:46,994046,4.1.1,x86_64,mingw32,Cubist,0.3.0,US,1275
2021-10-31,15:31:45,672553,NA,NA,NA,rpart.plot,3.1.0,US,1308
2021-10-31,15:31:46,81586,4.0.3,x86_64,linux-gnu,markdown,1.1,US,36
2021-10-31,15:31:46,215902,4.0.3,x86_64,linux-gnu,janitor,2.1.0,US,36
2021-10-31,15:31:41,296596,4.0.3,x86_64,darwin17.0,processx,3.5.2,NA,8
2021-10-31,15:31:38,2442310,NA,NA,NA,spls,2.2-3,US,805
2021-10-31,15:31:42,368909,4.1.1,x86_64,linux-gnu,gtable,0.3.0,US,1028
2021-10-31,15:31:42,371839,3.5.2,x86_64,linux-gnu,devtools,2.4.2,GB,9
2021-10-31,15:31:39,2568908,NA,NA,NA,rgl,0.107.14,GB,13
2021-10-31,15:31:43,36261,3.5.2,x86_64,linux-gnu,textshaping,0.3.6,GB,9
2021-10-31,15:31:44,2568908,NA,NA,NA,rgl,0.107.14,GB,9
2021-10-31,15:31:50,10588,NA,NA,NA,blob,1.2.2,US,1155
2021-10-31,15:31:50,545402,NA,NA,NA,strucchange,1.5-2,US,1155
2021-10-31,15:31:42,335117,4.1.1,x86_64,darwin17.0,iterators,1.0.13,TR,1200
2021-10-31,15:31:47,427739,3.5.2,x86_64,linux-gnu,ragg,1.2.0,GB,9
2021-10-31,15:31:49,290393,NA,NA,NA,rgeos,0.5-8,GB,13
2021-10-31,15:31:42,1674233,4.1.1,x86_64,linux-gnu,isoband,0.2.5,US,1028
2021-10-31,15:31:41,153900,NA,NA,NA,sjlabelled,1.1.8,TR,1307
2021-10-31,15:31:44,10691,4.0.3,x86_64,linux-gnu,labeling,0.4.2,US,36
2021-10-31,15:31:50,3241938,4.1.1,x86_64,mingw32,patchwork,1.1.1,IR,821
2021-10-31,15:31:45,387869,4.1.1,x86_64,darwin17.0,ipred,0.9-12,TR,1200
2021-10-31,15:31:48,454273,NA,NA,NA,styler,1.6.2,US,1155
2021-10-31,15:31:50,26072,NA,NA,NA,profmem,0.6.0,US,1155
2021-10-31,15:31:50,3846802,NA,NA,NA,plotly,4.10.0,US,1155
2021-10-31,15:31:46,99547,NA,NA,NA,glue,1.4.2,CN,1257
2021-10-31,15:31:45,91749,4.0.3,x86_64,linux-gnu,ids,1.0.1,US,36
2021-10-31,15:31:44,863761,4.1.1,x86_64,darwin17.0,curl,4.3.2,IN,1281
2021-10-31,15:31:45,348131,4.0.3,x86_64,mingw32,htmltools,0.5.2,US,1289
