cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1012,2021,1,29,5,35,44,90,335,1,Northbound 1,0,,2,CAR,4.4,3.9,3.07,81.0,0.0,0.0,0,0,0,,
20222,2021,1,29,13,34,55,0,814,4,Westbound 1,0,,2,CAR,4.2,7.3,7.12,88.0,0.0,0.0,0,0,0,,
20112,2021,1,29,5,40,24,0,340,4,Northbound 1,0,,2,CAR,4.3,12.9,12.76,102.0,0.0,0.0,0,0,0,,
1723,2021,1,29,16,17,17,0,977,1,Westbound,0,,4,BUS,9.8,8.0,7.88,85.0,0.0,0.0,0,0,0,,
20021,2021,1,29,11,31,11,50,691,6,Southbound 1,0,,2,CAR,4.5,2.42,1.65,84.0,0.0,0.0,0,0,0,,
1506,2021,1,29,13,8,39,0,788,2,Northbound 2,0,,2,CAR,4.5,3.12,3.35,101.0,0.0,0.0,0,0,0,,
998,2021,1,29,18,34,35,0,1114,1,Ch 1,0,,2,CAR,5.2,1.57,1.63,70.0,0.0,0.0,0,0,0,,
20112,2021,1,29,15,39,27,20,939,1,Southbound 1,0,,2,CAR,4.2,4.9,4.75,58.0,0.0,0.0,0,0,0,,
1034,2021,1,29,13,49,3,0,829,5,Southbound 1,0,,1,MBIKE,1.4,2.67,2.55,87.0,0.0,0.0,0,0,0,,
1508,2021,1,29,15,11,11,0,911,4,Southbound 4,0,,2,CAR,4.4,6.4,6.26,109.0,0.0,0.0,0,0,0,,
